sector,quarter,income_growth,saving_rate,debt_income,interest_burden
Households,2016K1,5.7,11.9,176,4
Households,2016K2,2.7,23.2,178,3.2
Households,2016K3,2.1,6.4,179.4,4.1
Households,2016K4,2.8,3.4,180.5,4
Households,2017K1,-1.1,7.3,182.9,4
Households,2017K2,4.1,24.2,183.3,3.1
Households,2017K3,2.5,6.3,184.6,4
Households,2017K4,4.4,3.5,184.6,3.9
Households,2018K1,6.8,13.4,183,3.8
Households,2018K2,-4.5,19.9,186.9,3.3
Households,2018K3,2.7,8.3,186.5,3.8
Households,2018K4,3.6,6.5,186.6,3.7
Households,2019K1,2.5,15.7,186.6,3.8
Households,2019K2,2.5,22.8,186.8,3.4
Households,2019K3,2.8,9.1,186.9,4
Households,2019K4,2.4,9.1,187.4,3.9
Households,2020K1,1.7,13.4,188.2,4
Households,2020K2,-5.6,22.4,193.6,3.8
Households,2020K3,0.2,11.7,195.6,4.2
Households,2020K4,1.8,11.9,197.5,4
Households,2021K1,4.2,20.9,197.4,3.8
Households,2021K2,6.6,21.5,196.7,3.4
Households,2021K3,3.9,8.7,197.3,3.9
Households,2021K4,2.4,7.7,198,3.7
Households,2022K1,4.2,18.1,196.8,3.3
Households,2022K2,3.9,19,194.4,3.2
Households,2022K3,-1.7,5.7,192.8,4.5
Households,2022K4,0,7.8,189.1,5.2
Households,2023K1,-2.6,17.8,186.4,5.6
Households,2023K2,-2,21.2,184,5.7
Households,2023K3,0.4,9.1,181.3,7.2
Households,2023K4,0.1,8.9,179.9,7.5
Households,2024K1,0.4,19.1,178.4,7.7
Households,2024K2,2.7,23.8,176.5,6.9
Households,2024K3,2.1,10.2,175.5,7.9
Households,2024K4,2.1,10.9,174.4,7
Households,2025K1,0.3,15.9,174.1,6.2
Households,2025K2,0.7,21.7,173.9,5.3
Households,2025K3,1.4,7.1,173.2,5.9
Households,2025K4,1.1,8,172.7,5.5
Households,2026K1,1,14.7,172.7,5.4
