quarter,house_price_index,house_price_nominal_log,cpi_log,house_price_real_log
2021Q2,967,6.874198495453294,5.8316185128291975,1.0425799826240967
2021Q3,1018,6.925595197110468,5.8406028969323,1.0849923001781683
2021Q4,1020,6.927557906278317,5.855014613970084,1.0725432923082323
2022Q1,1029,6.9363427358340495,5.871103190436798,1.0652395453972519
2022Q2,1054,6.960347729101308,5.903352564674319,1.056995164426989
2022Q3,1045,6.951772164398911,5.933393952651884,1.0183782117470273
2022Q4,982,6.889591308354466,5.964375941417249,0.9252153669372172
2023Q1,937,6.842683282238422,5.979223260685628,0.8634600215527941
2023Q2,923,6.827629234502852,5.996957765054913,0.8306714694479389
2023Q3,929,6.834108738813838,6.007739718410079,0.8263690204037593
2023Q4,919,6.823286122355687,6.018398548348063,0.8048875740076236
2024Q1,910,6.813444599510896,6.0248670854083075,0.7885775141025881
2024Q2,921,6.825460036255307,6.030316602571777,0.7951434336835295
2024Q3,942,6.848005274576363,6.027933079046658,0.820072195529705
2024Q4,936,6.841615476477592,6.031462201953629,0.8101532745239624
2025Q1,939,6.844815479208263,6.033765447507636,0.8110500317006268
2025Q2,946,6.852242569051878,6.0343484145066535,0.8178941545452245
2025Q3,952,6.858565034791365,6.037186517116429,0.821378517674936
2025Q4,941,6.846943139585379,6.0363901104609745,0.8105530291244047
2026Q1,948,6.854354502255021,NA,NA
2026Q2,965,6.872128101338986,NA,NA
