sector,item,quarter,Balances
Households,Currency,2017K3,43088
Households,Currency,2017K4,44863
Households,Currency,2018K1,43639
Households,Currency,2018K2,45630
Households,Currency,2018K3,45750
Households,Currency,2018K4,48225
Households,Currency,2019K1,45993
Households,Currency,2019K2,48370
Households,Currency,2019K3,49530
Households,Currency,2019K4,50196
Households,Currency,2020K1,47513
Households,Currency,2020K2,50222
Households,Currency,2020K3,49451
Households,Currency,2020K4,49589
Households,Currency,2021K1,48733
Households,Currency,2021K2,49782
Households,Currency,2021K3,49417
Households,Currency,2021K4,48711
Households,Currency,2022K1,51748
Households,Currency,2022K2,54231
Households,Currency,2022K3,51494
Households,Currency,2022K4,51834
Households,Currency,2023K1,51070
Households,Currency,2023K2,51062
Households,Currency,2023K3,47618
Households,Currency,2023K4,46644
Households,Currency,2024K1,45798
Households,Currency,2024K2,45977
Households,Currency,2024K3,45792
Households,Currency,2024K4,45511
Households,Currency,2025K1,44547
Households,Currency,2025K2,44951
Households,Currency,2025K3,44224
Households,Currency,2025K4,44456
Households,Currency,2026K1,43962
Households,Transferable deposits,1996K1,434866
Households,Transferable deposits,1996K2,441595
Households,Transferable deposits,1996K3,449183
Households,Transferable deposits,1996K4,430436
Households,Transferable deposits,1997K1,445032
Households,Transferable deposits,1997K2,427203
Households,Transferable deposits,1997K3,433271
Households,Transferable deposits,1997K4,409342
Households,Transferable deposits,1998K1,424466
Households,Transferable deposits,1998K2,434187
Households,Transferable deposits,1998K3,451773
Households,Transferable deposits,1998K4,425396
Households,Transferable deposits,1999K1,446826
Households,Transferable deposits,1999K2,453638
Households,Transferable deposits,1999K3,461455
Households,Transferable deposits,1999K4,427479
Households,Transferable deposits,2000K1,443027
Households,Transferable deposits,2000K2,436900
Households,Transferable deposits,2000K3,453529
Households,Transferable deposits,2000K4,414759
Households,Transferable deposits,2001K1,434390
Households,Transferable deposits,2001K2,447256
Households,Transferable deposits,2001K3,472875
Households,Transferable deposits,2001K4,461069
Households,Transferable deposits,2002K1,476875
Households,Transferable deposits,2002K2,487679
Households,Transferable deposits,2002K3,502668
Households,Transferable deposits,2002K4,499926
Households,Transferable deposits,2003K1,515338
Households,Transferable deposits,2003K2,532054
Households,Transferable deposits,2003K3,550665
Households,Transferable deposits,2003K4,530378
Households,Transferable deposits,2004K1,536822
Households,Transferable deposits,2004K2,549242
Households,Transferable deposits,2004K3,566913
Households,Transferable deposits,2004K4,541103
Households,Transferable deposits,2005K1,564257
Households,Transferable deposits,2005K2,588227
Households,Transferable deposits,2005K3,609424
Households,Transferable deposits,2005K4,590403
Households,Transferable deposits,2006K1,620186
Households,Transferable deposits,2006K2,664468
Households,Transferable deposits,2006K3,695290
Households,Transferable deposits,2006K4,681136
Households,Transferable deposits,2007K1,718932
Households,Transferable deposits,2007K2,774784
Households,Transferable deposits,2007K3,811430
Households,Transferable deposits,2007K4,836435
Households,Transferable deposits,2008K1,836846
Households,Transferable deposits,2008K2,882582
Households,Transferable deposits,2008K3,900534
Households,Transferable deposits,2008K4,910264
Households,Transferable deposits,2009K1,915357
Households,Transferable deposits,2009K2,948538
Households,Transferable deposits,2009K3,952447
Households,Transferable deposits,2009K4,959119
Households,Transferable deposits,2010K1,954067
Households,Transferable deposits,2010K2,990290
Households,Transferable deposits,2010K3,1012695
Households,Transferable deposits,2010K4,1046807
Households,Transferable deposits,2011K1,1049255
Households,Transferable deposits,2011K2,1085783
Households,Transferable deposits,2011K3,1115602
Households,Transferable deposits,2011K4,1146490
Households,Transferable deposits,2012K1,1155702
Households,Transferable deposits,2012K2,1206494
Households,Transferable deposits,2012K3,1232467
Households,Transferable deposits,2012K4,1247599
Households,Transferable deposits,2013K1,1251903
Households,Transferable deposits,2013K2,1289560
Households,Transferable deposits,2013K3,1301048
Households,Transferable deposits,2013K4,1321520
Households,Transferable deposits,2014K1,1315680
Households,Transferable deposits,2014K2,1361543
Households,Transferable deposits,2014K3,1367089
Households,Transferable deposits,2014K4,1390006
Households,Transferable deposits,2015K1,1387578
Households,Transferable deposits,2015K2,1463467
Households,Transferable deposits,2015K3,1488258
Households,Transferable deposits,2015K4,1520110
Households,Transferable deposits,2016K1,1542881
Households,Transferable deposits,2016K2,1616255
Households,Transferable deposits,2016K3,1634609
Households,Transferable deposits,2016K4,1645527
Households,Transferable deposits,2017K1,1654082
Households,Transferable deposits,2017K2,1710214
Households,Transferable deposits,2017K3,1750435
Households,Transferable deposits,2017K4,1768660
Households,Transferable deposits,2018K1,1792678
Households,Transferable deposits,2018K2,1844532
Households,Transferable deposits,2018K3,1874624
Households,Transferable deposits,2018K4,1900920
Households,Transferable deposits,2019K1,1921452
Households,Transferable deposits,2019K2,1984387
Households,Transferable deposits,2019K3,1992709
Households,Transferable deposits,2019K4,1997420
Households,Transferable deposits,2020K1,2082253
Households,Transferable deposits,2020K2,2156731
Households,Transferable deposits,2020K3,2172713
Households,Transferable deposits,2020K4,2214335
Households,Transferable deposits,2021K1,2243988
Households,Transferable deposits,2021K2,2319658
Households,Transferable deposits,2021K3,2363453
Households,Transferable deposits,2021K4,2404634
Households,Transferable deposits,2022K1,2465477
Households,Transferable deposits,2022K2,2562780
Households,Transferable deposits,2022K3,2575429
Households,Transferable deposits,2022K4,2570906
Households,Transferable deposits,2023K1,2560715
Households,Transferable deposits,2023K2,2610495
Households,Transferable deposits,2023K3,2611550
Households,Transferable deposits,2023K4,2598669
Households,Transferable deposits,2024K1,2612780
Households,Transferable deposits,2024K2,2668881
Households,Transferable deposits,2024K3,2654703
Households,Transferable deposits,2024K4,2653852
Households,Transferable deposits,2025K1,2667004
Households,Transferable deposits,2025K2,2776183
Households,Transferable deposits,2025K3,2771099
Households,Transferable deposits,2025K4,2776622
Households,Transferable deposits,2026K1,2798231
Households,Other deposits,1996K1,48628
Households,Other deposits,1996K2,47178
Households,Other deposits,1996K3,45836
Households,Other deposits,1996K4,43987
Households,Other deposits,1997K1,38407
Households,Other deposits,1997K2,35617
Households,Other deposits,1997K3,33714
Households,Other deposits,1997K4,32188
Households,Other deposits,1998K1,22739
Households,Other deposits,1998K2,6421
Households,Other deposits,1998K3,6618
Households,Other deposits,1998K4,6921
Households,Other deposits,1999K1,7370
Households,Other deposits,1999K2,7853
Households,Other deposits,1999K3,7927
Households,Other deposits,1999K4,8490
Households,Other deposits,2000K1,9159
Households,Other deposits,2000K2,9180
Households,Other deposits,2000K3,9185
