varaktighet,kvartal,"Fasta priser, referensår 2025, mnkr"
1111 bilar,1996K3,7103
1111 bilar,1996K4,9468
1111 bilar,1997K1,9020
1111 bilar,1997K2,11883
1111 bilar,1997K3,8482
1111 bilar,1997K4,10731
1111 bilar,1998K1,10502
1111 bilar,1998K2,12420
1111 bilar,1998K3,10018
1111 bilar,1998K4,13258
1111 bilar,1999K1,12229
1111 bilar,1999K2,16226
1111 bilar,1999K3,10343
1111 bilar,1999K4,17699
1111 bilar,2000K1,13052
1111 bilar,2000K2,17568
1111 bilar,2000K3,13357
1111 bilar,2000K4,15251
1111 bilar,2001K1,11406
1111 bilar,2001K2,14071
1111 bilar,2001K3,11427
1111 bilar,2001K4,12913
1111 bilar,2002K1,11330
1111 bilar,2002K2,14679
1111 bilar,2002K3,11895
1111 bilar,2002K4,13941
1111 bilar,2003K1,11824
1111 bilar,2003K2,15411
1111 bilar,2003K3,12582
1111 bilar,2003K4,14139
1111 bilar,2004K1,13330
1111 bilar,2004K2,16565
1111 bilar,2004K3,13430
1111 bilar,2004K4,14683
1111 bilar,2005K1,13485
1111 bilar,2005K2,18231
1111 bilar,2005K3,15114
1111 bilar,2005K4,15987
1111 bilar,2006K1,11769
1111 bilar,2006K2,17277
1111 bilar,2006K3,13888
1111 bilar,2006K4,15834
1111 bilar,2007K1,14006
1111 bilar,2007K2,17232
1111 bilar,2007K3,14618
1111 bilar,2007K4,17260
1111 bilar,2008K1,11553
1111 bilar,2008K2,15423
1111 bilar,2008K3,11172
1111 bilar,2008K4,10289
1111 bilar,2009K1,8163
1111 bilar,2009K2,12215
1111 bilar,2009K3,10661
1111 bilar,2009K4,10982
1111 bilar,2010K1,10652
1111 bilar,2010K2,15892
1111 bilar,2010K3,14465
1111 bilar,2010K4,14933
1111 bilar,2011K1,13542
1111 bilar,2011K2,18261
1111 bilar,2011K3,14751
1111 bilar,2011K4,16247
1111 bilar,2012K1,13312
1111 bilar,2012K2,16527
1111 bilar,2012K3,13935
1111 bilar,2012K4,14784
1111 bilar,2013K1,11244
1111 bilar,2013K2,16036
1111 bilar,2013K3,14796
1111 bilar,2013K4,17540
1111 bilar,2014K1,13807
1111 bilar,2014K2,19233
1111 bilar,2014K3,16520
1111 bilar,2014K4,19058
1111 bilar,2015K1,15495
1111 bilar,2015K2,20952
1111 bilar,2015K3,19384
1111 bilar,2015K4,22945
1111 bilar,2016K1,17461
1111 bilar,2016K2,23983
1111 bilar,2016K3,19756
1111 bilar,2016K4,23998
1111 bilar,2017K1,19381
1111 bilar,2017K2,23782
1111 bilar,2017K3,20343
1111 bilar,2017K4,23408
1111 bilar,2018K1,18593
1111 bilar,2018K2,29286
1111 bilar,2018K3,17213
1111 bilar,2018K4,19625
1111 bilar,2019K1,17410
1111 bilar,2019K2,23217
1111 bilar,2019K3,20801
1111 bilar,2019K4,27441
1111 bilar,2020K1,16521
1111 bilar,2020K2,17092
1111 bilar,2020K3,22315
1111 bilar,2020K4,25771
1111 bilar,2021K1,24347
1111 bilar,2021K2,24466
1111 bilar,2021K3,22653
1111 bilar,2021K4,27238
1111 bilar,2022K1,24590
1111 bilar,2022K2,26881
1111 bilar,2022K3,22700
1111 bilar,2022K4,28682
1111 bilar,2023K1,18455
1111 bilar,2023K2,24854
1111 bilar,2023K3,21641
1111 bilar,2023K4,27516
1111 bilar,2024K1,19012
1111 bilar,2024K2,24615
1111 bilar,2024K3,22388
1111 bilar,2024K4,27713
1111 bilar,2025K1,20665
1111 bilar,2025K2,26904
1111 bilar,2025K3,24869
1111 bilar,2025K4,26218
1111 bilar,2026K1,22023
1111 bilar,2026K2,28538
1112 övriga varaktiga varor,1981K1,2595
1112 övriga varaktiga varor,1981K2,2643
1112 övriga varaktiga varor,1981K3,2443
1112 övriga varaktiga varor,1981K4,3329
1112 övriga varaktiga varor,1982K1,2587
1112 övriga varaktiga varor,1982K2,2654
1112 övriga varaktiga varor,1982K3,2393
1112 övriga varaktiga varor,1982K4,3452
1112 övriga varaktiga varor,1983K1,2392
1112 övriga varaktiga varor,1983K2,2416
1112 övriga varaktiga varor,1983K3,2199
1112 övriga varaktiga varor,1983K4,3103
1112 övriga varaktiga varor,1984K1,2455
1112 övriga varaktiga varor,1984K2,2474
1112 övriga varaktiga varor,1984K3,2215
1112 övriga varaktiga varor,1984K4,3100
1112 övriga varaktiga varor,1985K1,2510
1112 övriga varaktiga varor,1985K2,2594
1112 övriga varaktiga varor,1985K3,2310
1112 övriga varaktiga varor,1985K4,3139
1112 övriga varaktiga varor,1986K1,2627
1112 övriga varaktiga varor,1986K2,2817
1112 övriga varaktiga varor,1986K3,2604
1112 övriga varaktiga varor,1986K4,3536
1112 övriga varaktiga varor,1987K1,2922
1112 övriga varaktiga varor,1987K2,3196
1112 övriga varaktiga varor,1987K3,2869
1112 övriga varaktiga varor,1987K4,3892
1112 övriga varaktiga varor,1988K1,3310
1112 övriga varaktiga varor,1988K2,3342
1112 övriga varaktiga varor,1988K3,3119
1112 övriga varaktiga varor,1988K4,4222
1112 övriga varaktiga varor,1989K1,3593
1112 övriga varaktiga varor,1989K2,3752
1112 övriga varaktiga varor,1989K3,3427
1112 övriga varaktiga varor,1989K4,4629
1112 övriga varaktiga varor,1990K1,3761
1112 övriga varaktiga varor,1990K2,3944
1112 övriga varaktiga varor,1990K3,3390
1112 övriga varaktiga varor,1990K4,4577
1112 övriga varaktiga varor,1991K1,3602
1112 övriga varaktiga varor,1991K2,3892
1112 övriga varaktiga varor,1991K3,3273
1112 övriga varaktiga varor,1991K4,4519
1112 övriga varaktiga varor,1992K1,3295
1112 övriga varaktiga varor,1992K2,3322
1112 övriga varaktiga varor,1992K3,2935
1112 övriga varaktiga varor,1992K4,3955
1112 övriga varaktiga varor,1993K1,2814
1112 övriga varaktiga varor,1993K2,2952
1112 övriga varaktiga varor,1993K3,2806
1112 övriga varaktiga varor,1993K4,3723
1112 övriga varaktiga varor,1994K1,2747
1112 övriga varaktiga varor,1994K2,2891
1112 övriga varaktiga varor,1994K3,2810
1112 övriga varaktiga varor,1994K4,3997
1112 övriga varaktiga varor,1995K1,3173
1112 övriga varaktiga varor,1995K2,3193
1112 övriga varaktiga varor,1995K3,3074
1112 övriga varaktiga varor,1995K4,3990
1112 övriga varaktiga varor,1996K1,3063
1112 övriga varaktiga varor,1996K2,3231
1112 övriga varaktiga varor,1996K3,3285
1112 övriga varaktiga varor,1996K4,4150
1112 övriga varaktiga varor,1997K1,3597
1112 övriga varaktiga varor,1997K2,4107
1112 övriga varaktiga varor,1997K3,3879
1112 övriga varaktiga varor,1997K4,5146
1112 övriga varaktiga varor,1998K1,4154
1112 övriga varaktiga varor,1998K2,4574
1112 övriga varaktiga varor,1998K3,4632
1112 övriga varaktiga varor,1998K4,5879
1112 övriga varaktiga varor,1999K1,4900
1112 övriga varaktiga varor,1999K2,5245
1112 övriga varaktiga varor,1999K3,5281
1112 övriga varaktiga varor,1999K4,6875
1112 övriga varaktiga varor,2000K1,6039
1112 övriga varaktiga varor,2000K2,6428
1112 övriga varaktiga varor,2000K3,6378
1112 övriga varaktiga varor,2000K4,7798
1112 övriga varaktiga varor,2001K1,6701
1112 övriga varaktiga varor,2001K2,7052
1112 övriga varaktiga varor,2001K3,7128
1112 övriga varaktiga varor,2001K4,8213
1112 övriga varaktiga varor,2002K1,7025
1112 övriga varaktiga varor,2002K2,7868
1112 övriga varaktiga varor,2002K3,7776
1112 övriga varaktiga varor,2002K4,9046
1112 övriga varaktiga varor,2003K1,7633
1112 övriga varaktiga varor,2003K2,8625
1112 övriga varaktiga varor,2003K3,8914
1112 övriga varaktiga varor,2003K4,10447
1112 övriga varaktiga varor,2004K1,8708
1112 övriga varaktiga varor,2004K2,9804
1112 övriga varaktiga varor,2004K3,10141
1112 övriga varaktiga varor,2004K4,11723
1112 övriga varaktiga varor,2005K1,9559
1112 övriga varaktiga varor,2005K2,11279
1112 övriga varaktiga varor,2005K3,11705
1112 övriga varaktiga varor,2005K4,13976
1112 övriga varaktiga varor,2006K1,11338
1112 övriga varaktiga varor,2006K2,12954
1112 övriga varaktiga varor,2006K3,13343
1112 övriga varaktiga varor,2006K4,15927
1112 övriga varaktiga varor,2007K1,12682
1112 övriga varaktiga varor,2007K2,15260
1112 övriga varaktiga varor,2007K3,15404
