region,quarter,Index
Greater Stockholm,2014K3,874
Greater Stockholm,2014K4,892
Greater Stockholm,2015K1,910
Greater Stockholm,2015K2,960
Greater Stockholm,2015K3,1004
Greater Stockholm,2015K4,1032
Greater Stockholm,2016K1,1029
Greater Stockholm,2016K2,1063
Greater Stockholm,2016K3,1080
Greater Stockholm,2016K4,1079
Greater Stockholm,2017K1,1099
Greater Stockholm,2017K2,1130
Greater Stockholm,2017K3,1141
Greater Stockholm,2017K4,1128
Greater Stockholm,2018K1,1095
Greater Stockholm,2018K2,1066
Greater Stockholm,2018K3,1056
Greater Stockholm,2018K4,1051
Greater Stockholm,2019K1,1047
Greater Stockholm,2019K2,1058
Greater Stockholm,2019K3,1063
Greater Stockholm,2019K4,1068
Greater Stockholm,2020K1,1094
Greater Stockholm,2020K2,1120
Greater Stockholm,2020K3,1132
Greater Stockholm,2020K4,1195
Greater Stockholm,2021K1,1252
Greater Stockholm,2021K2,1337
Greater Stockholm,2021K3,1400
Greater Stockholm,2021K4,1390
Greater Stockholm,2022K1,1416
Greater Stockholm,2022K2,1450
Greater Stockholm,2022K3,1418
Greater Stockholm,2022K4,1316
Greater Stockholm,2023K1,1259
Greater Stockholm,2023K2,1242
Greater Stockholm,2023K3,1251
Greater Stockholm,2023K4,1240
Greater Stockholm,2024K1,1218
Greater Stockholm,2024K2,1230
Greater Stockholm,2024K3,1257
Greater Stockholm,2024K4,1260
Greater Stockholm,2025K1,1269
Greater Stockholm,2025K2,1278
Greater Stockholm,2025K3,1266
Greater Stockholm,2025K4,1254
Greater Stockholm,2026K1,1260
Greater Gothenburg,1986K1,122
Greater Gothenburg,1986K2,125
Greater Gothenburg,1986K3,129
Greater Gothenburg,1986K4,134
Greater Gothenburg,1987K1,139
Greater Gothenburg,1987K2,143
Greater Gothenburg,1987K3,149
Greater Gothenburg,1987K4,156
Greater Gothenburg,1988K1,168
Greater Gothenburg,1988K2,176
Greater Gothenburg,1988K3,185
Greater Gothenburg,1988K4,195
Greater Gothenburg,1989K1,205
Greater Gothenburg,1989K2,215
Greater Gothenburg,1989K3,228
Greater Gothenburg,1989K4,220
Greater Gothenburg,1990K1,238
Greater Gothenburg,1990K2,241
Greater Gothenburg,1990K3,249
Greater Gothenburg,1990K4,243
Greater Gothenburg,1991K1,260
Greater Gothenburg,1991K2,250
Greater Gothenburg,1991K3,254
Greater Gothenburg,1991K4,246
Greater Gothenburg,1992K1,230
Greater Gothenburg,1992K2,224
Greater Gothenburg,1992K3,219
Greater Gothenburg,1992K4,199
Greater Gothenburg,1993K1,189
Greater Gothenburg,1993K2,190
Greater Gothenburg,1993K3,189
Greater Gothenburg,1993K4,190
Greater Gothenburg,1994K1,193
Greater Gothenburg,1994K2,200
Greater Gothenburg,1994K3,202
Greater Gothenburg,1994K4,201
Greater Gothenburg,1995K1,200
Greater Gothenburg,1995K2,203
Greater Gothenburg,1995K3,201
Greater Gothenburg,1995K4,196
Greater Gothenburg,1996K1,194
Greater Gothenburg,1996K2,200
Greater Gothenburg,1996K3,206
Greater Gothenburg,1996K4,203
Greater Gothenburg,1997K1,205
Greater Gothenburg,1997K2,219
Greater Gothenburg,1997K3,226
Greater Gothenburg,1997K4,227
Greater Gothenburg,1998K1,233
Greater Gothenburg,1998K2,245
Greater Gothenburg,1998K3,253
Greater Gothenburg,1998K4,262
Greater Gothenburg,1999K1,256
Greater Gothenburg,1999K2,272
Greater Gothenburg,1999K3,279
Greater Gothenburg,1999K4,282
Greater Gothenburg,2000K1,289
Greater Gothenburg,2000K2,304
Greater Gothenburg,2000K3,314
Greater Gothenburg,2000K4,313
Greater Gothenburg,2001K1,328
Greater Gothenburg,2001K2,328
Greater Gothenburg,2001K3,328
Greater Gothenburg,2001K4,330
Greater Gothenburg,2002K1,334
Greater Gothenburg,2002K2,343
Greater Gothenburg,2002K3,361
Greater Gothenburg,2002K4,365
Greater Gothenburg,2003K1,379
Greater Gothenburg,2003K2,387
Greater Gothenburg,2003K3,402
Greater Gothenburg,2003K4,404
Greater Gothenburg,2004K1,419
Greater Gothenburg,2004K2,443
Greater Gothenburg,2004K3,456
Greater Gothenburg,2004K4,457
Greater Gothenburg,2005K1,466
Greater Gothenburg,2005K2,481
Greater Gothenburg,2005K3,503
Greater Gothenburg,2005K4,510
Greater Gothenburg,2006K1,535
Greater Gothenburg,2006K2,547
Greater Gothenburg,2006K3,567
Greater Gothenburg,2006K4,573
Greater Gothenburg,2007K1,567
Greater Gothenburg,2007K2,602
Greater Gothenburg,2007K3,623
Greater Gothenburg,2007K4,624
Greater Gothenburg,2008K1,628
Greater Gothenburg,2008K2,631
Greater Gothenburg,2008K3,640
Greater Gothenburg,2008K4,608
Greater Gothenburg,2009K1,601
Greater Gothenburg,2009K2,633
Greater Gothenburg,2009K3,641
Greater Gothenburg,2009K4,661
Greater Gothenburg,2010K1,677
Greater Gothenburg,2010K2,688
Greater Gothenburg,2010K3,696
Greater Gothenburg,2010K4,692
Greater Gothenburg,2011K1,715
Greater Gothenburg,2011K2,717
Greater Gothenburg,2011K3,710
Greater Gothenburg,2011K4,693
