date,value
1997-01-23,110.31493
1997-01-24,110.92209
1997-01-27,111.06691
1997-01-28,111.28939
1997-01-29,111.21985
1997-01-30,110.9339
1997-01-31,110.50648
1997-02-03,110.94439
1997-02-04,111.50861
1997-02-05,112.081
1997-02-06,112.52608
1997-02-07,112.32349
1997-02-10,111.59549
1997-02-11,111.71995
1997-02-12,111.83954
1997-02-13,111.38058
1997-02-14,110.95463
1997-02-17,110.47517
1997-02-18,110.90292
1997-02-19,111.10917
1997-02-20,111.08934000000001
1997-02-21,111.03525
1997-02-24,111.17578
1997-02-25,111.47239
1997-02-26,111.86746
1997-02-27,111.98654
1997-02-28,112.20155
1997-03-03,112.73114
1997-03-04,113.03073
1997-03-05,113.0855
1997-03-06,113.29562
1997-03-07,113.29425
1997-03-10,113.44948
1997-03-11,112.8594
1997-03-12,113.89285
1997-03-13,113.87571
1997-03-14,114.70132
1997-03-17,115.33262
1997-03-18,115.00025
1997-03-19,114.71185
1997-03-20,114.92321
1997-03-21,113.92548
1997-03-24,113.77452
1997-03-25,114.2597
1997-03-26,114.87624
1997-03-27,113.7746
1997-04-01,113.78578
1997-04-02,114.45541
1997-04-03,115.15978
1997-04-04,114.28216
1997-04-07,114.1024
1997-04-08,113.50717
1997-04-09,113.35137
1997-04-10,113.5566
1997-04-11,113.72104
1997-04-14,112.58453
1997-04-15,112.91421
1997-04-16,113.29565
1997-04-17,113.4248
1997-04-18,113.64842
1997-04-21,113.11956
1997-04-22,113.05537
1997-04-23,113.17372
1997-04-24,112.92166
1997-04-25,113.46489
1997-04-28,114.31635
1997-04-29,114.71679
1997-04-30,114.76022
1997-05-02,114.62845
1997-05-05,115.7311
1997-05-06,115.59109
1997-05-07,114.34873
1997-05-09,113.84204
1997-05-12,113.95375
1997-05-13,114.25859
1997-05-14,114.34658
1997-05-15,113.34751
1997-05-16,113.21427
1997-05-20,113.4991
1997-05-21,112.51229
1997-05-22,113.15434
1997-05-23,113.38443
1997-05-26,113.8643
1997-05-27,113.96031
1997-05-28,114.04933
1997-05-29,114.41726
1997-05-30,114.91878
1997-06-02,114.60215
1997-06-03,114.92106
1997-06-04,114.39175
1997-06-05,114.30382
1997-06-06,114.40164
1997-06-09,115.00569
1997-06-10,115.41768
1997-06-11,115.22818
1997-06-12,114.83866
1997-06-13,114.77756
1997-06-16,114.25466
1997-06-17,114.59224
1997-06-18,113.63599
1997-06-19,114.11028
1997-06-23,113.66855
1997-06-24,113.98274
1997-06-25,114.16384
1997-06-26,113.65185
1997-06-27,113.6773
1997-06-30,113.57289
1997-07-01,113.59523
1997-07-02,113.75001
1997-07-03,113.87135
1997-07-04,113.40875
1997-07-07,113.44154
1997-07-08,113.90165
1997-07-09,113.56841
1997-07-10,113.16798
1997-07-11,113.11084
1997-07-14,112.87489
1997-07-15,112.99988
1997-07-16,113.18087
1997-07-17,112.66403
1997-07-18,112.43078
1997-07-21,112.28826
1997-07-22,112.09454
1997-07-23,112.05585
1997-07-24,111.85334
1997-07-25,112.35001
1997-07-28,112.01369
1997-07-29,112.3927
1997-07-30,112.60483
1997-07-31,112.74693
1997-08-01,112.85016
1997-08-04,112.50416
1997-08-05,112.81939
1997-08-06,112.3584
1997-08-07,112.42535
1997-08-08,112.20001
1997-08-11,111.59953
1997-08-12,112.20221
1997-08-13,112.26575
1997-08-14,112.86845
1997-08-15,112.99359
1997-08-18,113.12923
1997-08-19,113.84643
1997-08-20,113.46378
1997-08-21,113.02366
1997-08-22,112.77409
1997-08-25,113.05294
1997-08-26,112.99674
1997-08-27,112.49021
1997-08-28,112.53409
1997-08-29,112.01008
1997-09-01,112.22322
1997-09-02,111.84901
1997-09-03,111.68514
1997-09-04,111.68778
1997-09-05,111.28335
1997-09-08,110.76813
1997-09-09,110.55757
1997-09-10,110.88382
1997-09-11,111.43067
1997-09-12,111.50677
1997-09-15,110.40151
1997-09-16,110.43735
1997-09-17,109.94266
1997-09-18,109.49764
1997-09-19,109.47174
1997-09-22,109.75218
1997-09-23,109.75919
1997-09-24,109.06498
1997-09-25,108.80507
1997-09-26,109.09927
1997-09-29,110.23918
1997-09-30,109.74515
1997-10-01,109.66952
1997-10-02,109.56052
1997-10-03,110.00783
1997-10-06,109.15866
1997-10-07,109.22908
1997-10-08,109.73172
1997-10-09,110.00128
1997-10-10,110.35939
1997-10-13,110.24288
1997-10-14,109.81501
1997-10-15,110.24085
1997-10-16,110.51523
1997-10-17,110.35075
1997-10-20,110.19281
1997-10-21,110.46765
1997-10-22,110.67424
1997-10-23,110.30845
1997-10-24,109.72176
1997-10-27,109.85981
1997-10-28,110.05845
1997-10-29,110.19405
1997-10-30,110.43995
1997-10-31,110.57684
1997-11-03,110.57055
1997-11-04,110.71067
1997-11-05,110.77099
1997-11-06,110.65383
1997-11-07,110.19893
1997-11-10,110.48878
1997-11-11,110.53865
1997-11-12,110.64104
1997-11-13,110.57599
1997-11-14,110.42484
1997-11-17,110.44632
1997-11-18,110.6294
1997-11-19,111.21444
1997-11-20,110.47297
1997-11-21,110.67033
1997-11-24,110.26888
1997-11-25,110.57092
1997-11-26,111.14517
1997-11-27,111.42698
1997-11-28,111.73939
1997-12-01,111.93491
1997-12-02,111.73269
1997-12-03,111.36451
1997-12-04,111.77273
1997-12-05,111.54052
1997-12-08,111.44312
1997-12-09,110.90346
1997-12-10,110.83115
1997-12-11,110.95825
1997-12-12,110.84374
1997-12-15,110.81023
1997-12-16,110.4305
1997-12-17,110.55953
1997-12-18,110.63438
1997-12-19,110.76397
1997-12-22,110.67135
1997-12-23,110.52026
1997-12-29,111.09506
1997-12-30,111.49951
1998-01-02,111.842
1998-01-05,111.79384
1998-01-07,112.31097
1998-01-08,112.01833
1998-01-09,111.62373
1998-01-12,111.74022
1998-01-13,111.90916
1998-01-14,111.86088
1998-01-15,111.8873
1998-01-16,111.70734
1998-01-19,111.81001
1998-01-20,112.0789
1998-01-21,112.20282
1998-01-22,111.898
1998-01-23,112.03467
1998-01-26,112.08276
1998-01-27,112.14908
1998-01-28,112.57256
1998-01-29,112.86347
1998-01-30,113.16043
1998-02-02,113.14535
1998-02-03,112.99844
1998-02-04,113.18615
1998-02-05,113.51588
1998-02-06,113.43601
1998-02-09,113.77215
1998-02-10,114.17165
1998-02-11,113.73275
1998-02-12,113.69344
1998-02-13,113.36622
1998-02-16,113.32714
1998-02-17,113.54847
1998-02-18,113.20308
1998-02-19,113.1263
1998-02-20,112.6675
1998-02-23,112.78819
1998-02-24,112.96247
1998-02-25,112.59231
1998-02-26,112.60237
1998-02-27,112.38663
1998-03-02,112.26926
1998-03-03,112.05489
1998-03-04,112.03592
1998-03-05,111.71245
1998-03-06,112.26079
1998-03-09,111.72335
1998-03-10,111.48851
1998-03-11,111.45327
1998-03-12,111.51415
1998-03-13,111.45762
1998-03-16,110.93527
1998-03-17,111.2402
1998-03-18,111.28128
1998-03-19,110.90101
1998-03-20,111.1591
1998-03-23,111.04525
1998-03-24,110.82608
1998-03-25,110.89654
1998-03-26,110.96022
1998-03-27,110.45799
1998-03-30,109.99042
1998-03-31,110.40941
1998-04-01,110.80632
1998-04-02,110.95545
1998-04-03,110.6545
1998-04-06,110.53385
1998-04-07,111.00164
1998-04-08,110.71669
1998-04-09,110.43475
1998-04-14,109.84276
1998-04-15,109.52863
1998-04-16,109.28786
1998-04-17,108.91981
1998-04-20,109.01284
1998-04-21,108.27251
1998-04-22,108.4249
1998-04-23,108.32823
1998-04-24,108.81134
1998-04-27,109.00821
1998-04-28,109.23053
1998-04-29,107.83425
1998-04-30,109.31878
1998-05-04,109.26587
1998-05-05,108.57896
1998-05-06,108.19155
1998-05-07,107.86048
1998-05-08,108.40579
1998-05-11,107.94612
1998-05-12,107.83575
1998-05-13,107.99929
1998-05-14,108.70976
1998-05-15,108.78169
1998-05-18,109.23474
1998-05-19,109.25642
1998-05-20,109.0644
1998-05-22,108.88116
1998-05-25,109.17556
1998-05-26,109.07905
1998-05-27,109.31975
1998-05-28,109.87545
1998-05-29,109.96518
1998-06-02,109.939
1998-06-03,109.67629
1998-06-04,109.48665
1998-06-05,109.79393
1998-06-08,110.47239
1998-06-09,110.16078
1998-06-10,111.28063
1998-06-11,111.14036
1998-06-12,111.12238
1998-06-15,111.51842
1998-06-16,111.89069
1998-06-17,112.01377
1998-06-18,111.19629
1998-06-22,111.45977
1998-06-23,111.02078
1998-06-24,110.6897
1998-06-25,110.44874
1998-06-26,110.37375
1998-06-29,111.15374
1998-06-30,110.96173
1998-07-01,111.3527
1998-07-02,112.05027
1998-07-03,112.03251
1998-07-06,112.07662
1998-07-07,112.26541
1998-07-08,111.91593
1998-07-09,111.83141
1998-07-10,111.93472
1998-07-13,111.9872
1998-07-14,112.21491
1998-07-15,112.06586
1998-07-16,111.70641
1998-07-17,111.43851
1998-07-20,111.21788
1998-07-21,111.48925
1998-07-22,111.53079
1998-07-23,111.46414
1998-07-24,111.56086
1998-07-27,110.83684
1998-07-28,110.92643
1998-07-29,111.18934
