country,quarter,gdp_growth_qoq
CAN,2002-Q3,0.864710004
CAN,2002-Q4,0.549240541
CAN,2003-Q1,0.556372989
CAN,2003-Q2,-0.145041357
CAN,2003-Q3,0.373863441
CAN,2003-Q4,0.687422999
CAN,2004-Q1,0.727147736
CAN,2004-Q2,1.184860318
CAN,2004-Q3,1.18232632
CAN,2004-Q4,0.721715122
CAN,2005-Q1,0.350202804
CAN,2005-Q2,0.72275167
CAN,2005-Q3,1.211889602
CAN,2005-Q4,0.993155151
CAN,2006-Q1,0.811906
CAN,2006-Q2,0.050006824
CAN,2006-Q3,0.281497219
CAN,2006-Q4,0.398230459
CAN,2007-Q1,0.638206425
CAN,2007-Q2,0.96572296
CAN,2007-Q3,0.374681048
CAN,2007-Q4,0.131432874
CAN,2008-Q1,0.075036988
CAN,2008-Q2,0.364362857
CAN,2008-Q3,0.821739528
CAN,2008-Q4,-1.160303228
CAN,2009-Q1,-2.256581424
CAN,2009-Q2,-1.07869505
CAN,2009-Q3,0.447240509
CAN,2009-Q4,1.1618989770000001
CAN,2010-Q1,1.211533092
CAN,2010-Q2,0.523642872
CAN,2010-Q3,0.700042554
CAN,2010-Q4,1.121801791
CAN,2011-Q1,0.761595519
CAN,2011-Q2,0.181517907
CAN,2011-Q3,1.368249361
CAN,2011-Q4,0.79472209
CAN,2012-Q1,0.0631303
CAN,2012-Q2,0.325071067
CAN,2012-Q3,0.136854471
CAN,2012-Q4,0.205799023
CAN,2013-Q1,0.89511833
CAN,2013-Q2,0.575888641
CAN,2013-Q3,0.82231197
CAN,2013-Q4,1.046569427
CAN,2014-Q1,0.168994293
CAN,2014-Q2,0.911555413
CAN,2014-Q3,0.958574349
CAN,2014-Q4,0.691167613
CAN,2015-Q1,-0.55677898
CAN,2015-Q2,-0.272994458
CAN,2015-Q3,0.358097519
CAN,2015-Q4,0.066272079
CAN,2016-Q1,0.591683798
CAN,2016-Q2,-0.498133929
CAN,2016-Q3,1.03778381
CAN,2016-Q4,0.561022275
CAN,2017-Q1,1.258206055
CAN,2017-Q2,1.052553159
CAN,2017-Q3,0.031402141
CAN,2017-Q4,0.507360861
CAN,2018-Q1,1.162519794
CAN,2018-Q2,0.780038215
CAN,2018-Q3,0.504422861
CAN,2018-Q4,0.235568646
CAN,2019-Q1,0.240663338
CAN,2019-Q2,1.0947648189999999
CAN,2019-Q3,0.279623055
CAN,2019-Q4,0.285513174
CAN,2020-Q1,-1.949937792
CAN,2020-Q2,-10.9999385
CAN,2020-Q3,9.083513962
CAN,2020-Q4,1.87838191
CAN,2021-Q1,1.703571827
CAN,2021-Q2,-0.117195455
CAN,2021-Q3,2.014508421
CAN,2021-Q4,1.790401837
CAN,2022-Q1,1.036830407
CAN,2022-Q2,1.137637883
CAN,2022-Q3,0.808765958
CAN,2022-Q4,0.062901444
CAN,2023-Q1,1.05267407
CAN,2023-Q2,0.159574645
CAN,2023-Q3,0.050143347
CAN,2023-Q4,0.051696088
CAN,2024-Q1,0.728641975
CAN,2024-Q2,0.815991707
CAN,2024-Q3,0.819154584
CAN,2024-Q4,0.701430953
CAN,2025-Q1,0.715585037
CAN,2025-Q2,-0.242322459
CAN,2025-Q3,0.471919791
CAN,2025-Q4,-0.246475531
CHE,1996-Q1,0.790486463
