quarter,gdp_growth,consumption_growth,debt_growth,asset_liability_ratio,saving_rate,debt_income,interest_burden,real_house_price_growth,cpi_growth,policy_rate,exchange_rate_growth
2004K1,1.7,1.4,2.0407053316452206,2.933880406013496,1.2,122.8,5.9,2.2370380354955977,-0.1316971157123703,2.6126373626373627,0.6865987160411535
2004K2,0.7,-0.5,2.9313853468957873,2.8635698463357775,7.6,126.2,5.1,3.6399059810168666,0.4422934710086146,2.032967032967033,0.7865628309624562
2004K3,0.8,0.9,2.0852651368736375,2.8101840857060645,2.8,128.2,5.5,2.4390556445190725,-0.17907245279493722,2,-0.23345141498385402
2004K4,0.4,0.6,3.0003382929626454,2.79712715616999,-5,131.2,5.6,0.7652046213806329,0.3459179211264818,2,-2.6694127435598958
2005K1,0.4,1,1.7759417715970116,2.887380441680234,2.1,132.8,5.6,0.896883502223389,-0.3459179211264818,2,0.61008624505412
2005K2,0.9,0.6,2.9994606502633303,2.9914360685960606,9.5,134.4,4.7,3.0323162011246296,0.4768157800024042,1.9505494505494505,2.64487156473896
2005K3,1.4,1.8,2.680194258085855,3.064155482953611,-1.1,137.3,5.2,3.865995535275868,0.035669698969265085,1.5,2.723656100096594
2005K4,0.1,0,2.86305000886955,3.05809686792352,-5,139.6,5.1,1.4631001836095336,0.5571705481424161,1.5,1.7398675858817825
2006K1,1.9,0.3,2.030146874040284,3.2102317897888595,3.6,140.6,5.2,3.496656767216244,-0.298352181911099,1.7694444444444444,-1.536959963985396
2006K2,1.7,1.3,2.943357753356679,3.0127061951719742,13.1,141.8,4.6,1.87592569520465,1.22324963562912,2.0274725274725274,-1.6439324459160964
2006K3,0.9,0.6,2.400837960995972,3.0928433456937117,1.4,143.4,5.6,2.906496613072296,0.0995100675077687,2.317934782608696,-1.2976152869916824
2006K4,0.9,1.4,2.7572212000622542,3.126085614527908,-3.8,145.6,5.9,0.17682649657695393,0.5042204036756814,2.698369565217391,-1.2441366201183968
2007K1,0.5,0.9,1.7729289072560661,3.2660281228791876,6.5,145.5,6.3,0.8008325118574966,0.10007448237914218,3.1083333333333334,0.3428608737666039
2007K2,1.2,1,2.5978673842200095,3.276091850599794,18.2,145.1,5.4,4.150565828519959,1.09080843988405,3.260989010989011,0.38468279123815563
2007K3,0.3,1.9,2.269158251876746,3.2178983630287408,2,146.2,6.8,4.143611925328106,0.22753138371349735,3.551630434782609,0.049159953178001814
2007K4,1.1,0.6,2.513562989127749,2.9764860529767083,-3.6,148.3,7.2,-1.4720492758119263,1.6755081455906762,3.9184782608695654,-0.6484993282351859
2008K1,-0.5,-0.7,2.040915022631573,2.9492772742322657,5.4,149.5,7.4,-1.399562125151288,0.17255286596986608,4.112637362637362,0.08249889857649961
2008K2,-0.5,-0.3,2.8066644449507905,2.8334327753654915,21.1,150.2,6.2,-0.31916302897743165,1.7492180431970539,4.25,-1.6781859236269625
2008K3,-0.9,-1,1.6116338358809656,2.766341387056578,5.7,150.3,8.1,0.7411191152296048,0.6687733227205506,4.5353260869565215,2.0654731035422813
2008K4,-4,-1,1.447430184510523,2.685755004446777,-0.7,151,8.2,-3.494665989268153,-0.17173244789097097,3.5597826086956523,8.461006105914226
2009K1,-1,1.1,1.4203907633930868,2.6900184090877715,8.7,151.2,6.2,-0.022476407839100432,-1.4404545937567903,1.5333333333333334,4.9300374938102465
2009K2,0.5,1.3,2.4046773532225174,2.7643083115359444,18.4,154.1,4.4,3.448139421445706,0.47393189388245105,0.6153846153846154,-1.4586109837125605
2009K3,0,0.5,1.9200182037167224,2.8457642103878364,5.1,155.5,4.8,2.632041950634978,-0.034493310308914005,0.26902173913043476,-3.7134753730315495
2009K4,0.2,0.2,2.395642635340778,2.834189504379765,0.5,156.9,4.6,1.1759083092538702,0.5836678797840555,0.25,-1.0293162742452289
2010K1,1.6,2.3,1.5555364836719932,2.9336842061944224,8.7,158,4.4,1.9338289958866994,-0.014384270271960986,0.25,-1.737351292037026
2010K2,3.3,0.3,2.0815677957291,2.864485027801867,19.2,159.9,3.7,1.75351232306733,0.5022224193401037,0.25,-0.685306893202231
2010K3,1.7,1.2,2.015342302291323,2.9096547538133475,6.5,161.4,4.7,0.5065383084707165,0.04953355999894882,0.5461956521739131,-2.5928575170214962
2010K4,0.6,-0.1,1.570034434416101,2.9452063692279005,1.6,162,5.2,-0.9624686818050954,1.331472790550503,0.9565217391304348,-2.922003264486772
2011K1,0.7,0.8,1.142425074699105,2.9435664533839687,8.8,161.9,5.9,-0.18453945114922377,0.3685321433499311,1.3722222222222222,-3.4890714977708903
2011K2,0.8,0.9,1.5306478764445686,2.8685243047928655,20.6,161.5,5.3,-0.575380414604787,1.1253359712086741,1.6785714285714286,0.35953213561743524
2011K3,1,-0.5,1.168688503813975,2.6827430460040493,7.5,161.6,6.7,-0.2931130710847718,0.11013040337717328,1.986413043478261,1.9218636726346716
2011K4,-3.1,-0.2,1.150465971907444,2.7198299301424793,1.7,162.2,6.9,-4.243607459216214,0.701764738861943,1.9701086956521738,-0.2226863581449301
2012K1,1.2,0.9,0.9094774570179709,2.8383812870304967,9.6,162.4,6.9,-0.19009932418585507,-0.19012927078803088,1.6428571428571428,-1.202490295421299
2012K2,0.6,0.2,1.2213926206516845,2.795574008211101,23.2,162,5.4,0.6485027622598949,0.4878731027716299,1.5,1.0363897517380316
2012K3,0.7,0.7,0.9975833253660582,2.8125630205637613,8.9,162.1,6.4,1.874841949290662,-0.37948698258478686,1.4483695652173914,-4.277130778709548
2012K4,-1.4,0.1,0.8897806011777476,2.7714688146058832,4.3,161.7,6.1,-0.15175556475215402,0.15175556475215402,1.2146739130434783,1.172258661019665
2013K1,0.8,0.4,1.0015797590593678,2.8901762933641177,12.7,161.4,5.8,0.31650637661151393,-0.31650637661151393,1,-2.6767830802968184
2013K2,0.4,0.3,1.2723418707206946,2.884286994534546,22,163.3,4.8,1.2056081289784082,0.2677150223199476,1,0.5046947598588147
2013K3,0.9,1.1,1.0855422207137977,2.9388428820343804,9,164,5.6,1.4646632279532668,-0.012732095507939079,1,0.006706759048302757
2013K4,0.6,0.4,1.112412472041413,2.9650438228978095,4,164.6,5.5,0.7696189322427216,0.12724806603330308,0.9619565217391305,1.2388734163191195
2014K1,0.5,0.5,1.0164812620637065,3.033527852309468,13,165.5,5.5,2.3250600016223366,-0.7306949619087177,0.75,-0.860659009772835
2014K2,0.6,1.3,1.589248377967678,3.1284499148858207,23.5,165.6,4.4,1.8060090678620355,0.6246661545540988,0.75,2.49398119470321
2014K3,0.8,0.3,1.3118334152540712,3.166118317035705,9.7,166.6,5.2,3.2287218451429567,-0.18794702667142005,0.29347826086956524,2.692859660293845
2014K4,0.2,1.3,1.6219433053098697,3.2193402013630994,4.7,168.2,4.9,1.0772510468101792,0.08074369628578992,0.07608695652173914,0.7671931847948343
2015K1,1.2,1.2,1.3557862384260488,3.4020842008295396,10,169.4,4.7,2.6224084117179913,-0.5067884149868362,-0.058333333333333334,3.079889123594004
2015K2,2.5,0.9,1.9879040320859076,3.325273015809702,22.6,170.3,3.5,3.225600650794913,0.4111637662925993,-0.25,0.4060045163442716
2015K3,-0.1,0.8,1.6734110699651694,3.251240308424671,6.2,172.4,4.2,3.5548516142524633,-0.0457196331255183,-0.34239130434782605,-0.5978078678139376
2015K4,1,1,1.8506608548170433,3.2773136552729176,1,174.6,4.1,2.3096212842713015,0.2071658864213788,-0.35,-1.4771152484540195
2016K1,-0.5,0,2.2436116333482303,3.2269711008150486,11.9,176,4,0.21558734847895167,0.07638366185451773,-0.4225274725274725,-1.3701070801144688
2016K2,1.1,0.1,2.153066575669804,3.180436539121679,23.2,178,3.2,1.5898918013063756,0.5731341295641457,-0.5,-0.3001877036492573
2016K3,0.3,0.9,1.4989880509517661,3.283217349127657,6.4,179.4,4.1,3.056627840799564,0.17172269431302567,-0.5,2.580140639600348
2016K4,0.6,0.8,1.5278070681487677,3.3107977680591163,3.4,180.5,4,-0.19096388930828212,0.6044724040886074,-0.5,3.051976923479671
2017K1,0.8,1.5,1.4706310161381353,3.401570551615501,7.3,182.9,4,1.9241183535905648,0.11815820979554914,-0.5,-2.063564776993587
2017K2,0.2,-0.5,1.9864080262781414,3.373151565115637,24.2,183.3,3.1,2.3155134572268032,0.8677792000942652,-0.5,1.0500168773049268
