quarter,gdp_growth,consumption_growth,debt_growth,asset_liability_ratio,saving_rate,debt_income,interest_burden,real_house_price_growth,policy_rate
2007K2,1.2,1,2.955001847910843,3.276091850599794,18.2,145.1,5.4,4.150565828519959,3.26271186440678
2007K3,0.3,1.9,2.580297364901618,3.2178983630287408,2,146.2,6.8,4.143611925328106,3.55
2007K4,1.1,0.6,3.1167639149430215,2.9764860529767083,-3.6,148.3,7.2,-1.4720492758119263,3.911290322580645
2008K1,-0.5,-0.7,-0.2274144919509169,2.9492772742322657,5.4,149.5,7.4,-1.399562125151288,4.108870967741935
2008K2,-0.5,-0.3,2.5703734767281716,2.8334327753654915,21.1,150.2,6.2,-0.31916302897743165,4.25
2008K3,-0.9,-1,1.7185073666619033,2.766341387056578,5.7,150.3,8.1,0.7411191152296048,4.534090909090909
2008K4,-4,-1,1.963295947720134,2.685755004446777,-0.7,151,8.2,-3.494665989268153,3.653225806451613
2009K1,-1,1.1,-0.2550629733544696,2.6900184090877715,8.7,151.2,6.2,-0.022476407839100432,1.5161290322580645
2009K2,0.5,1.3,2.8129439194183092,2.7643083115359444,18.4,154.1,4.4,3.448139421445706,0.6083333333333333
2009K3,0,0.5,2.00438823362159,2.8457642103878364,5.1,155.5,4.8,2.632041950634978,0.2689393939393939
2009K4,0.2,0.2,2.7160378917702843,2.834189504379765,0.5,156.9,4.6,1.1759083092538702,0.25
2010K1,1.6,2.3,0.65049515536586,2.9336842061944224,8.7,158,4.4,1.9338289958866994,0.25
2010K2,3.3,0.3,2.638590561306664,2.864485027801867,19.2,159.9,3.7,1.75351232306733,0.25
2010K3,1.7,1.2,2.2096490185795403,2.9096547538133475,6.5,161.4,4.7,0.5065383084707165,0.5492424242424242
2010K4,0.6,-0.1,2.040668995174144,2.9452063692279005,1.6,162,5.2,-0.9624686818050954,0.953125
2011K1,0.7,0.8,-0.06315766885673924,2.9435664533839687,8.8,161.9,5.9,-0.18453945114922377,1.376984126984127
2011K2,0.8,0.9,1.7970032878306341,2.8685243047928655,20.6,161.5,5.3,-0.575380414604787,1.6833333333333333
2011K3,1,-0.5,1.1782401357748995,2.6827430460040493,7.5,161.6,6.7,-0.2931130710847718,1.9886363636363635
2011K4,-3.1,-0.2,1.4730548991114034,2.7198299301424793,1.7,162.2,6.9,-4.243607459216214,1.97265625
2012K1,1.2,0.9,0.16951165944920632,2.8383812870304967,9.6,162.4,6.9,-0.19009932418585507,1.640625
2012K2,0.6,0.2,0.8946114608097133,2.795574008211101,23.2,162,5.4,0.6485027622598949,1.5
2012K3,0.7,0.7,1.071863434531295,2.8125630205637613,8.9,162.1,6.4,1.874841949290662,1.45
2012K4,-1.4,0.1,1.288391303644687,2.7714688146058832,4.3,161.7,6.1,-0.15175556475215402,1.2298387096774193
2013K1,0.8,0.4,0.24419666311352728,2.8901762933641177,12.7,161.4,5.8,0.31650637661151393,1
2013K2,0.4,0.3,1.3037807367046739,2.884286994534546,22,163.3,4.8,1.2056081289784082,1
2013K3,0.9,1.1,0.9814997247074686,2.9388428820343804,9,164,5.6,1.4646632279532668,1
2013K4,0.6,0.4,1.4239219680824533,2.9650438228978095,4,164.6,5.5,0.7696189322427216,0.9758064516129032
2014K1,0.5,0.5,0.6862697868479373,3.033527852309468,13,165.5,5.5,2.3250600016223366,0.75
2014K2,0.6,1.3,1.6371714616910893,3.1284499148858207,23.5,165.6,4.4,1.8060090678620355,0.75
2014K3,0.8,0.3,1.1948360203488662,3.166118317035705,9.7,166.6,5.2,3.2287218451429567,0.29545454545454547
2014K4,0.2,1.3,1.7349061781052555,3.2193402013630994,4.7,168.2,4.9,1.0772510468101792,0.08064516129032258
