quarter,gdp_growth,consumption_growth,asset_liability_ratio,saving_rate,debt_income,interest_burden,real_house_price_growth,policy_rate,debt_growth
2022K2,1.1,1.5,3.40722691349895,11.8627359547275,194.4,3.2,-0.824438097026281,0.1625,1.18161697188937
2022K3,-0.5,-1.3,3.326911388754,11.4572639558821,192.8,4.5,-3.86169526799618,0.848484848484849,0.724413972014236
2022K4,-1.1,-0.7,3.39017285735939,13.1024610776889,189.1,5.2,-9.31628448098101,2.0078125,0.433854444251164
2023K1,1.2,-1.3,3.5302515508367,14.0305408124353,186.4,5.6,-6.17553453844231,2.7578125,0.265128542495098
2023K2,-1,0.4,3.58899254524998,13.8262936476624,184,5.7,-3.27885521048552,3.33898305084746,0.136194680579702
2023K3,1.5,0,3.49922175788768,14.7990211684799,181.3,7.2,-0.430244904417965,3.75384615384615,0.239375481173169
2023K4,-1.6,0.9,3.59468851997518,14.1995084922628,179.9,7.5,-2.14814463961357,4,0.0630315488238172
2024K1,3,0.2,3.82145889895964,15.7906342918249,178.4,7.7,-1.63100599050354,4,0.185587568665918
2024K2,-1.3,0,3.89687934865761,16.1192213072706,176.5,6.9,0.656591958094133,3.87083333333333,0.202478849103645
2024K3,0.8,0.5,3.95096793243145,15.8871374105217,175.5,7.9,2.49287618461755,3.64015151515152,0.300174395112094
2024K4,1.2,0.8,3.93930886581859,15.8600625072715,174.4,7,-0.991892100574265,3.00403225806452,0.529581627858601
2025K1,-0.5,0.4,3.87556941390635,13.0899924552697,174.1,6.2,0.0896757176664487,2.35483870967742,0.452566452435202
2025K2,1.1,0.2,3.98523014370236,13.8468834547502,173.9,5.3,0.684412284459768,2.23305084745763,0.572811863642929
2025K3,0.4,1,4.0262879969142,12.8812930924367,173.2,5.9,0.348436312971145,2,0.612731855177522
2025K4,0.8,0.6,4.07043515134767,12.8955830015338,172.7,5.5,-1.08254885505312,1.75,0.624566985465007
