"quarter","gdp_growth","consumption_growth","asset_liability_ratio","saving_rate","debt_income","interest_burden","real_house_price_growth","policy_rate","debt_growth"
"2008K3",-0.9,-1,2.76634138705658,5.7,150.3,8.1,0.741119115229605,4.53409090909091,1.7185073666619
"2008K4",-4,-1,2.68575500444678,-0.7,151,8.2,-3.49466598926815,3.65322580645161,1.96329594772013
"2009K1",-1,1.1,2.69001840908777,8.7,151.2,6.2,-0.0224764078391004,1.51612903225806,-0.25506297335447
"2009K2",0.5,1.3,2.76430831153594,18.4,154.1,4.4,3.44813942144571,0.608333333333333,2.81294391941831
"2009K3",0,0.5,2.84576421038784,5.1,155.5,4.8,2.63204195063498,0.268939393939394,2.00438823362159
"2009K4",0.2,0.2,2.83418950437976,0.5,156.9,4.6,1.17590830925387,0.25,2.71603789177028
"2010K1",1.6,2.3,2.93368420619442,8.7,158,4.4,1.9338289958867,0.25,0.65049515536586
"2010K2",3.3,0.3,2.86448502780187,19.2,159.9,3.7,1.75351232306733,0.25,2.63859056130666
"2010K3",1.7,1.2,2.90965475381335,6.5,161.4,4.7,0.506538308470716,0.549242424242424,2.20964901857954
"2010K4",0.6,-0.1,2.9452063692279,1.6,162,5.2,-0.962468681805095,0.953125,2.04066899517414
"2011K1",0.7,0.8,2.94356645338397,8.8,161.9,5.9,-0.184539451149224,1.37698412698413,-0.0631576688567392
"2011K2",0.8,0.9,2.86852430479287,20.6,161.5,5.3,-0.575380414604787,1.68333333333333,1.79700328783063
"2011K3",1,-0.5,2.68274304600405,7.5,161.6,6.7,-0.293113071084772,1.98863636363636,1.1782401357749
"2011K4",-3.1,-0.2,2.71982993014248,1.7,162.2,6.9,-4.24360745921621,1.97265625,1.4730548991114
"2012K1",1.2,0.9,2.8383812870305,9.6,162.4,6.9,-0.190099324185855,1.640625,0.169511659449206
"2012K2",0.6,0.2,2.7955740082111,23.2,162,5.4,0.648502762259895,1.5,0.894611460809713
"2012K3",0.7,0.7,2.81256302056376,8.9,162.1,6.4,1.87484194929066,1.45,1.07186343453129
"2012K4",-1.4,0.1,2.77146881460588,4.3,161.7,6.1,-0.151755564752154,1.22983870967742,1.28839130364469
"2013K1",0.8,0.4,2.89017629336412,12.7,161.4,5.8,0.316506376611514,1,0.244196663113527
"2013K2",0.4,0.3,2.88428699453455,22,163.3,4.8,1.20560812897841,1,1.30378073670467
"2013K3",0.9,1.1,2.93884288203438,9,164,5.6,1.46466322795327,1,0.981499724707469
