type of use,quarter,"Constant prices, reference year 2025, SEK million"
- Exports of goods and services,2006K2,511855
- Exports of goods and services,2006K3,483769
- Exports of goods and services,2006K4,543821
- Exports of goods and services,2007K1,523318
- Exports of goods and services,2007K2,540156
- Exports of goods and services,2007K3,507938
- Exports of goods and services,2007K4,562863
- Exports of goods and services,2008K1,550101
- Exports of goods and services,2008K2,567713
- Exports of goods and services,2008K3,518358
- Exports of goods and services,2008K4,519532
- Exports of goods and services,2009K1,457239
- Exports of goods and services,2009K2,460697
- Exports of goods and services,2009K3,449133
- Exports of goods and services,2009K4,480736
- Exports of goods and services,2010K1,469898
- Exports of goods and services,2010K2,518596
- Exports of goods and services,2010K3,503896
- Exports of goods and services,2010K4,559608
- Exports of goods and services,2011K1,533991
- Exports of goods and services,2011K2,555918
- Exports of goods and services,2011K3,542237
- Exports of goods and services,2011K4,558899
- Exports of goods and services,2012K1,550409
- Exports of goods and services,2012K2,568089
- Exports of goods and services,2012K3,531839
- Exports of goods and services,2012K4,556223
- Exports of goods and services,2013K1,532545
- Exports of goods and services,2013K2,563845
- Exports of goods and services,2013K3,538254
- Exports of goods and services,2013K4,569117
- Exports of goods and services,2014K1,547967
- Exports of goods and services,2014K2,576866
- Exports of goods and services,2014K3,560032
- Exports of goods and services,2014K4,605253
- Exports of goods and services,2015K1,568398
- Exports of goods and services,2015K2,609600
- Exports of goods and services,2015K3,586220
- Exports of goods and services,2015K4,642476
- Exports of goods and services,2016K1,595484
- Exports of goods and services,2016K2,633097
- Exports of goods and services,2016K3,591367
- Exports of goods and services,2016K4,660426
- Exports of goods and services,2017K1,613522
- Exports of goods and services,2017K2,646135
- Exports of goods and services,2017K3,614449
- Exports of goods and services,2017K4,688044
- Exports of goods and services,2018K1,644069
- Exports of goods and services,2018K2,670352
- Exports of goods and services,2018K3,638200
- Exports of goods and services,2018K4,721284
- Exports of goods and services,2019K1,694081
- Exports of goods and services,2019K2,729985
- Exports of goods and services,2019K3,700709
- Exports of goods and services,2019K4,735093
- Exports of goods and services,2020K1,711266
- Exports of goods and services,2020K2,604292
- Exports of goods and services,2020K3,639290
- Exports of goods and services,2020K4,749789
- Exports of goods and services,2021K1,735179
- Exports of goods and services,2021K2,760011
- Exports of goods and services,2021K3,704827
- Exports of goods and services,2021K4,817223
- Exports of goods and services,2022K1,782737
- Exports of goods and services,2022K2,801635
- Exports of goods and services,2022K3,760271
- Exports of goods and services,2022K4,855245
- Exports of goods and services,2023K1,818151
- Exports of goods and services,2023K2,813948
- Exports of goods and services,2023K3,784909
- Exports of goods and services,2023K4,864893
- Exports of goods and services,2024K1,820511
- Exports of goods and services,2024K2,850460
- Exports of goods and services,2024K3,808724
- Exports of goods and services,2024K4,898670
- Exports of goods and services,2025K1,855816
- Exports of goods and services,2025K2,882313
- Exports of goods and services,2025K3,850994
- Exports of goods and services,2025K4,916275
- Exports of goods and services,2026K1,887619
-- exports of goods,1980K1,NA
-- exports of goods,1980K2,NA
-- exports of goods,1980K3,NA
-- exports of goods,1980K4,NA
-- exports of goods,1981K1,89426
-- exports of goods,1981K2,90627
-- exports of goods,1981K3,80888
-- exports of goods,1981K4,105034
-- exports of goods,1982K1,95986
-- exports of goods,1982K2,96418
-- exports of goods,1982K3,82443
-- exports of goods,1982K4,105328
-- exports of goods,1983K1,105805
-- exports of goods,1983K2,108168
-- exports of goods,1983K3,92555
-- exports of goods,1983K4,119560
-- exports of goods,1984K1,121439
-- exports of goods,1984K2,112176
-- exports of goods,1984K3,99062
-- exports of goods,1984K4,126895
-- exports of goods,1985K1,116704
-- exports of goods,1985K2,119156
-- exports of goods,1985K3,109228
-- exports of goods,1985K4,129284
-- exports of goods,1986K1,119224
-- exports of goods,1986K2,128863
-- exports of goods,1986K3,110095
-- exports of goods,1986K4,130671
-- exports of goods,1987K1,125379
-- exports of goods,1987K2,127638
-- exports of goods,1987K3,112436
-- exports of goods,1987K4,141756
-- exports of goods,1988K1,128636
-- exports of goods,1988K2,134553
-- exports of goods,1988K3,113716
-- exports of goods,1988K4,146148
-- exports of goods,1989K1,136879
-- exports of goods,1989K2,139451
-- exports of goods,1989K3,118132
-- exports of goods,1989K4,142917
-- exports of goods,1990K1,140134
-- exports of goods,1990K2,138605
-- exports of goods,1990K3,116624
-- exports of goods,1990K4,144220
-- exports of goods,1991K1,134959
-- exports of goods,1991K2,138780
-- exports of goods,1991K3,115640
-- exports of goods,1991K4,139905
-- exports of goods,1992K1,140810
-- exports of goods,1992K2,134836
-- exports of goods,1992K3,122920
-- exports of goods,1992K4,138014
-- exports of goods,1993K1,139946
-- exports of goods,1993K2,143705
-- exports of goods,1993K3,140550
-- exports of goods,1993K4,161951
-- exports of goods,1994K1,164384
-- exports of goods,1994K2,169924
-- exports of goods,1994K3,154506
-- exports of goods,1994K4,193435
-- exports of goods,1995K1,199817
-- exports of goods,1995K2,196009
-- exports of goods,1995K3,175529
-- exports of goods,1995K4,206224
-- exports of goods,1996K1,201590
-- exports of goods,1996K2,207616
-- exports of goods,1996K3,185880
-- exports of goods,1996K4,218711
-- exports of goods,1997K1,218374
-- exports of goods,1997K2,238294
-- exports of goods,1997K3,215724
-- exports of goods,1997K4,251711
-- exports of goods,1998K1,246576
-- exports of goods,1998K2,251204
-- exports of goods,1998K3,233110
-- exports of goods,1998K4,271845
-- exports of goods,1999K1,257753
-- exports of goods,1999K2,267451
-- exports of goods,1999K3,251242
-- exports of goods,1999K4,288696
-- exports of goods,2000K1,286331
-- exports of goods,2000K2,299481
-- exports of goods,2000K3,282795
-- exports of goods,2000K4,319994
-- exports of goods,2001K1,299204
-- exports of goods,2001K2,292665
-- exports of goods,2001K3,266332
-- exports of goods,2001K4,302685
-- exports of goods,2002K1,297887
-- exports of goods,2002K2,309737
-- exports of goods,2002K3,271236
-- exports of goods,2002K4,307377
-- exports of goods,2003K1,303180
-- exports of goods,2003K2,314106
-- exports of goods,2003K3,295157
-- exports of goods,2003K4,327834
-- exports of goods,2004K1,334254
-- exports of goods,2004K2,357746
-- exports of goods,2004K3,323053
-- exports of goods,2004K4,363291
-- exports of goods,2005K1,348661
-- exports of goods,2005K2,383341
-- exports of goods,2005K3,355478
-- exports of goods,2005K4,385313
-- exports of goods,2006K1,398298
-- exports of goods,2006K2,399047
-- exports of goods,2006K3,369233
-- exports of goods,2006K4,425797
-- exports of goods,2007K1,412541
-- exports of goods,2007K2,416821
-- exports of goods,2007K3,385573
-- exports of goods,2007K4,437795
-- exports of goods,2008K1,433220
-- exports of goods,2008K2,444049
-- exports of goods,2008K3,392399
-- exports of goods,2008K4,385274
-- exports of goods,2009K1,334332
-- exports of goods,2009K2,333346
-- exports of goods,2009K3,323816
-- exports of goods,2009K4,355546
-- exports of goods,2010K1,355896
-- exports of goods,2010K2,398339
-- exports of goods,2010K3,379227
-- exports of goods,2010K4,428310
-- exports of goods,2011K1,420581
-- exports of goods,2011K2,430083
-- exports of goods,2011K3,414508
-- exports of goods,2011K4,423745
-- exports of goods,2012K1,426685
-- exports of goods,2012K2,432868
-- exports of goods,2012K3,400568
-- exports of goods,2012K4,417349
-- exports of goods,2013K1,398141
-- exports of goods,2013K2,419052
-- exports of goods,2013K3,391027
-- exports of goods,2013K4,413010
-- exports of goods,2014K1,414225
-- exports of goods,2014K2,429039
-- exports of goods,2014K3,406893
-- exports of goods,2014K4,432037
-- exports of goods,2015K1,410008
-- exports of goods,2015K2,438844
-- exports of goods,2015K3,410146
-- exports of goods,2015K4,448492
-- exports of goods,2016K1,427389
-- exports of goods,2016K2,447870
-- exports of goods,2016K3,410966
-- exports of goods,2016K4,459886
-- exports of goods,2017K1,455004
-- exports of goods,2017K2,465468
-- exports of goods,2017K3,434173
-- exports of goods,2017K4,489848
-- exports of goods,2018K1,478665
-- exports of goods,2018K2,495070
-- exports of goods,2018K3,455642
-- exports of goods,2018K4,504929
-- exports of goods,2019K1,502789
-- exports of goods,2019K2,513324
-- exports of goods,2019K3,483567
-- exports of goods,2019K4,518066
-- exports of goods,2020K1,521147
-- exports of goods,2020K2,437867
-- exports of goods,2020K3,470022
-- exports of goods,2020K4,536989
-- exports of goods,2021K1,539675
-- exports of goods,2021K2,551051
-- exports of goods,2021K3,498217
-- exports of goods,2021K4,569871
-- exports of goods,2022K1,564925
-- exports of goods,2022K2,557431
-- exports of goods,2022K3,522238
-- exports of goods,2022K4,577183
-- exports of goods,2023K1,569631
-- exports of goods,2023K2,552145
-- exports of goods,2023K3,514907
-- exports of goods,2023K4,574535
-- exports of goods,2024K1,561445
-- exports of goods,2024K2,572834
-- exports of goods,2024K3,519646
-- exports of goods,2024K4,578607
-- exports of goods,2025K1,578408
-- exports of goods,2025K2,585483
-- exports of goods,2025K3,547277
-- exports of goods,2025K4,589559
-- exports of goods,2026K1,585209
-- exports of services,1980K1,NA
-- exports of services,1980K2,NA
-- exports of services,1980K3,NA
-- exports of services,1980K4,NA
-- exports of services,1981K1,24112
-- exports of services,1981K2,25764
-- exports of services,1981K3,30158
-- exports of services,1981K4,28142
-- exports of services,1982K1,27429
-- exports of services,1982K2,31858
-- exports of services,1982K3,34953
-- exports of services,1982K4,33727
-- exports of services,1983K1,28822
-- exports of services,1983K2,33541
-- exports of services,1983K3,35538
-- exports of services,1983K4,31298
-- exports of services,1984K1,31688
-- exports of services,1984K2,36167
-- exports of services,1984K3,35646
-- exports of services,1984K4,31121
-- exports of services,1985K1,25830
-- exports of services,1985K2,31494
-- exports of services,1985K3,36716
-- exports of services,1985K4,30747
-- exports of services,1986K1,28967
-- exports of services,1986K2,33036
-- exports of services,1986K3,36610
-- exports of services,1986K4,33162
-- exports of services,1987K1,29366
-- exports of services,1987K2,33782
-- exports of services,1987K3,37925
-- exports of services,1987K4,37271
-- exports of services,1988K1,31700
-- exports of services,1988K2,36196
-- exports of services,1988K3,38787
-- exports of services,1988K4,36604
-- exports of services,1989K1,32275
-- exports of services,1989K2,37143
-- exports of services,1989K3,41138
-- exports of services,1989K4,39897
-- exports of services,1990K1,39085
-- exports of services,1990K2,42373
-- exports of services,1990K3,44232
-- exports of services,1990K4,41859
-- exports of services,1991K1,38036
-- exports of services,1991K2,41972
-- exports of services,1991K3,41673
-- exports of services,1991K4,42994
-- exports of services,1992K1,41015
-- exports of services,1992K2,43237
-- exports of services,1992K3,45608
-- exports of services,1992K4,45294
-- exports of services,1993K1,42358
-- exports of services,1993K2,45051
-- exports of services,1993K3,47712
-- exports of services,1993K4,45963
-- exports of services,1994K1,44126
-- exports of services,1994K2,45745
-- exports of services,1994K3,49625
-- exports of services,1994K4,46549
-- exports of services,1995K1,42547
-- exports of services,1995K2,47868
-- exports of services,1995K3,49654
-- exports of services,1995K4,44362
-- exports of services,1996K1,45046
-- exports of services,1996K2,47128
-- exports of services,1996K3,49519
-- exports of services,1996K4,47187
-- exports of services,1997K1,47645
-- exports of services,1997K2,55823
-- exports of services,1997K3,57127
-- exports of services,1997K4,57062
-- exports of services,1998K1,53498
-- exports of services,1998K2,59571
-- exports of services,1998K3,64778
-- exports of services,1998K4,63271
-- exports of services,1999K1,59751
-- exports of services,1999K2,67916
-- exports of services,1999K3,70353
-- exports of services,1999K4,69516
-- exports of services,2000K1,66277
-- exports of services,2000K2,73070
-- exports of services,2000K3,78456
-- exports of services,2000K4,83187
-- exports of services,2001K1,79022
-- exports of services,2001K2,83118
-- exports of services,2001K3,88371
-- exports of services,2001K4,88390
-- exports of services,2002K1,78953
-- exports of services,2002K2,85549
-- exports of services,2002K3,87096
-- exports of services,2002K4,86117
-- exports of services,2003K1,81038
-- exports of services,2003K2,85375
-- exports of services,2003K3,88684
-- exports of services,2003K4,92961
-- exports of services,2004K1,87192
-- exports of services,2004K2,97402
-- exports of services,2004K3,100509
-- exports of services,2004K4,103131
-- exports of services,2005K1,91083
-- exports of services,2005K2,101034
-- exports of services,2005K3,107122
-- exports of services,2005K4,119278
-- exports of services,2006K1,107447
-- exports of services,2006K2,113934
-- exports of services,2006K3,115646
-- exports of services,2006K4,119211
-- exports of services,2007K1,111929
-- exports of services,2007K2,124527
-- exports of services,2007K3,123488
-- exports of services,2007K4,126309
-- exports of services,2008K1,118094
-- exports of services,2008K2,124916
-- exports of services,2008K3,127104
-- exports of services,2008K4,135405
-- exports of services,2009K1,123930
-- exports of services,2009K2,128386
-- exports of services,2009K3,126327
-- exports of services,2009K4,126264
-- exports of services,2010K1,114955
-- exports of services,2010K2,121267
-- exports of services,2010K3,125709
-- exports of services,2010K4,132397
-- exports of services,2011K1,114574
-- exports of services,2011K2,126993
-- exports of services,2011K3,128826
-- exports of services,2011K4,136260
-- exports of services,2012K1,124947
-- exports of services,2012K2,136214
-- exports of services,2012K3,132035
-- exports of services,2012K4,139617
-- exports of services,2013K1,134934
-- exports of services,2013K2,145216
-- exports of services,2013K3,147137
-- exports of services,2013K4,155989
-- exports of services,2014K1,134798
-- exports of services,2014K2,148387
-- exports of services,2014K3,152928
-- exports of services,2014K4,172384
-- exports of services,2015K1,157978
-- exports of services,2015K2,170248
-- exports of services,2015K3,174710
-- exports of services,2015K4,192415
-- exports of services,2016K1,167577
-- exports of services,2016K2,184098
-- exports of services,2016K3,178692
-- exports of services,2016K4,198714
-- exports of services,2017K1,159563
-- exports of services,2017K2,180386
-- exports of services,2017K3,179156
-- exports of services,2017K4,197309
-- exports of services,2018K1,166172
-- exports of services,2018K2,175857
-- exports of services,2018K3,181975
-- exports of services,2018K4,214972
-- exports of services,2019K1,191157
-- exports of services,2019K2,215903
-- exports of services,2019K3,216048
-- exports of services,2019K4,216310
-- exports of services,2020K1,190095
-- exports of services,2020K2,166240
-- exports of services,2020K3,169300
-- exports of services,2020K4,212359
-- exports of services,2021K1,195725
-- exports of services,2021K2,208682
-- exports of services,2021K3,205407
-- exports of services,2021K4,245383
-- exports of services,2022K1,217131
-- exports of services,2022K2,242831
-- exports of services,2022K3,236525
-- exports of services,2022K4,276035
-- exports of services,2023K1,247022
-- exports of services,2023K2,260965
-- exports of services,2023K3,269982
-- exports of services,2023K4,290013
-- exports of services,2024K1,257937
-- exports of services,2024K2,276935
-- exports of services,2024K3,289740
-- exports of services,2024K4,320738
-- exports of services,2025K1,277408
-- exports of services,2025K2,296830
-- exports of services,2025K3,303717
-- exports of services,2025K4,326716
-- exports of services,2026K1,302410
- Gross domestic final expenditure excl. changes in inventories,1980K1,NA
- Gross domestic final expenditure excl. changes in inventories,1980K2,NA
- Gross domestic final expenditure excl. changes in inventories,1980K3,NA
- Gross domestic final expenditure excl. changes in inventories,1980K4,NA
- Gross domestic final expenditure excl. changes in inventories,1981K1,726302
- Gross domestic final expenditure excl. changes in inventories,1981K2,747798
- Gross domestic final expenditure excl. changes in inventories,1981K3,674164
- Gross domestic final expenditure excl. changes in inventories,1981K4,756138
- Gross domestic final expenditure excl. changes in inventories,1982K1,731989
- Gross domestic final expenditure excl. changes in inventories,1982K2,754500
- Gross domestic final expenditure excl. changes in inventories,1982K3,676234
- Gross domestic final expenditure excl. changes in inventories,1982K4,774163
- Gross domestic final expenditure excl. changes in inventories,1983K1,727103
- Gross domestic final expenditure excl. changes in inventories,1983K2,744556
- Gross domestic final expenditure excl. changes in inventories,1983K3,676032
- Gross domestic final expenditure excl. changes in inventories,1983K4,779673
- Gross domestic final expenditure excl. changes in inventories,1984K1,750303
- Gross domestic final expenditure excl. changes in inventories,1984K2,773172
- Gross domestic final expenditure excl. changes in inventories,1984K3,695926
- Gross domestic final expenditure excl. changes in inventories,1984K4,802296
- Gross domestic final expenditure excl. changes in inventories,1985K1,782039
- Gross domestic final expenditure excl. changes in inventories,1985K2,807713
- Gross domestic final expenditure excl. changes in inventories,1985K3,720205
- Gross domestic final expenditure excl. changes in inventories,1985K4,817774
- Gross domestic final expenditure excl. changes in inventories,1986K1,796011
- Gross domestic final expenditure excl. changes in inventories,1986K2,830518
- Gross domestic final expenditure excl. changes in inventories,1986K3,754853
- Gross domestic final expenditure excl. changes in inventories,1986K4,858708
- Gross domestic final expenditure excl. changes in inventories,1987K1,831344
- Gross domestic final expenditure excl. changes in inventories,1987K2,867660
- Gross domestic final expenditure excl. changes in inventories,1987K3,780914
- Gross domestic final expenditure excl. changes in inventories,1987K4,899244
- Gross domestic final expenditure excl. changes in inventories,1988K1,871871
- Gross domestic final expenditure excl. changes in inventories,1988K2,886749
- Gross domestic final expenditure excl. changes in inventories,1988K3,801013
- Gross domestic final expenditure excl. changes in inventories,1988K4,918726
- Gross domestic final expenditure excl. changes in inventories,1989K1,890889
- Gross domestic final expenditure excl. changes in inventories,1989K2,927156
- Gross domestic final expenditure excl. changes in inventories,1989K3,828323
- Gross domestic final expenditure excl. changes in inventories,1989K4,957267
- Gross domestic final expenditure excl. changes in inventories,1990K1,899086
- Gross domestic final expenditure excl. changes in inventories,1990K2,932158
- Gross domestic final expenditure excl. changes in inventories,1990K3,837383
- Gross domestic final expenditure excl. changes in inventories,1990K4,938339
- Gross domestic final expenditure excl. changes in inventories,1991K1,893392
- Gross domestic final expenditure excl. changes in inventories,1991K2,916462
- Gross domestic final expenditure excl. changes in inventories,1991K3,825386
- Gross domestic final expenditure excl. changes in inventories,1991K4,939900
- Gross domestic final expenditure excl. changes in inventories,1992K1,885932
- Gross domestic final expenditure excl. changes in inventories,1992K2,908951
- Gross domestic final expenditure excl. changes in inventories,1992K3,807604
- Gross domestic final expenditure excl. changes in inventories,1992K4,891677
- Gross domestic final expenditure excl. changes in inventories,1993K1,814226
- Gross domestic final expenditure excl. changes in inventories,1993K2,852364
- Gross domestic final expenditure excl. changes in inventories,1993K3,773010
- Gross domestic final expenditure excl. changes in inventories,1993K4,900636
- Gross domestic final expenditure excl. changes in inventories,1994K1,831120
- Gross domestic final expenditure excl. changes in inventories,1994K2,859959
- Gross domestic final expenditure excl. changes in inventories,1994K3,790399
- Gross domestic final expenditure excl. changes in inventories,1994K4,932167
- Gross domestic final expenditure excl. changes in inventories,1995K1,846125
- Gross domestic final expenditure excl. changes in inventories,1995K2,879210
- Gross domestic final expenditure excl. changes in inventories,1995K3,814792
- Gross domestic final expenditure excl. changes in inventories,1995K4,955056
- Gross domestic final expenditure excl. changes in inventories,1996K1,861838
- Gross domestic final expenditure excl. changes in inventories,1996K2,895923
- Gross domestic final expenditure excl. changes in inventories,1996K3,838516
- Gross domestic final expenditure excl. changes in inventories,1996K4,975687
- Gross domestic final expenditure excl. changes in inventories,1997K1,862564
- Gross domestic final expenditure excl. changes in inventories,1997K2,930830
- Gross domestic final expenditure excl. changes in inventories,1997K3,849483
- Gross domestic final expenditure excl. changes in inventories,1997K4,995051
- Gross domestic final expenditure excl. changes in inventories,1998K1,902342
- Gross domestic final expenditure excl. changes in inventories,1998K2,957357
- Gross domestic final expenditure excl. changes in inventories,1998K3,891193
- Gross domestic final expenditure excl. changes in inventories,1998K4,1044722
- Gross domestic final expenditure excl. changes in inventories,1999K1,940928
- Gross domestic final expenditure excl. changes in inventories,1999K2,992013
- Gross domestic final expenditure excl. changes in inventories,1999K3,925084
- Gross domestic final expenditure excl. changes in inventories,1999K4,1088757
- Gross domestic final expenditure excl. changes in inventories,2000K1,986622
- Gross domestic final expenditure excl. changes in inventories,2000K2,1041519
- Gross domestic final expenditure excl. changes in inventories,2000K3,962695
- Gross domestic final expenditure excl. changes in inventories,2000K4,1117310
- Gross domestic final expenditure excl. changes in inventories,2001K1,1009357
- Gross domestic final expenditure excl. changes in inventories,2001K2,1049110
- Gross domestic final expenditure excl. changes in inventories,2001K3,964690
- Gross domestic final expenditure excl. changes in inventories,2001K4,1125868
- Gross domestic final expenditure excl. changes in inventories,2002K1,1010743
- Gross domestic final expenditure excl. changes in inventories,2002K2,1081028
- Gross domestic final expenditure excl. changes in inventories,2002K3,984603
- Gross domestic final expenditure excl. changes in inventories,2002K4,1134804
- Gross domestic final expenditure excl. changes in inventories,2003K1,1031716
- Gross domestic final expenditure excl. changes in inventories,2003K2,1082695
- Gross domestic final expenditure excl. changes in inventories,2003K3,995907
- Gross domestic final expenditure excl. changes in inventories,2003K4,1149832
- Gross domestic final expenditure excl. changes in inventories,2004K1,1046490
- Gross domestic final expenditure excl. changes in inventories,2004K2,1110613
- Gross domestic final expenditure excl. changes in inventories,2004K3,1019235
- Gross domestic final expenditure excl. changes in inventories,2004K4,1189479
- Gross domestic final expenditure excl. changes in inventories,2005K1,1060324
- Gross domestic final expenditure excl. changes in inventories,2005K2,1147957
- Gross domestic final expenditure excl. changes in inventories,2005K3,1049284
- Gross domestic final expenditure excl. changes in inventories,2005K4,1213134
- Gross domestic final expenditure excl. changes in inventories,2006K1,1100480
- Gross domestic final expenditure excl. changes in inventories,2006K2,1191223
- Gross domestic final expenditure excl. changes in inventories,2006K3,1088752
- Gross domestic final expenditure excl. changes in inventories,2006K4,1276135
- Gross domestic final expenditure excl. changes in inventories,2007K1,1159365
- Gross domestic final expenditure excl. changes in inventories,2007K2,1244447
- Gross domestic final expenditure excl. changes in inventories,2007K3,1133368
- Gross domestic final expenditure excl. changes in inventories,2007K4,1323719
- Gross domestic final expenditure excl. changes in inventories,2008K1,1183479
- Gross domestic final expenditure excl. changes in inventories,2008K2,1270640
- Gross domestic final expenditure excl. changes in inventories,2008K3,1133896
- Gross domestic final expenditure excl. changes in inventories,2008K4,1292626
- Gross domestic final expenditure excl. changes in inventories,2009K1,1148675
- Gross domestic final expenditure excl. changes in inventories,2009K2,1230923
- Gross domestic final expenditure excl. changes in inventories,2009K3,1113357
- Gross domestic final expenditure excl. changes in inventories,2009K4,1291348
- Gross domestic final expenditure excl. changes in inventories,2010K1,1162837
- Gross domestic final expenditure excl. changes in inventories,2010K2,1273046
- Gross domestic final expenditure excl. changes in inventories,2010K3,1168927
- Gross domestic final expenditure excl. changes in inventories,2010K4,1358244
- Gross domestic final expenditure excl. changes in inventories,2011K1,1208403
- Gross domestic final expenditure excl. changes in inventories,2011K2,1322314
- Gross domestic final expenditure excl. changes in inventories,2011K3,1192108
- Gross domestic final expenditure excl. changes in inventories,2011K4,1361828
- Gross domestic final expenditure excl. changes in inventories,2012K1,1235427
- Gross domestic final expenditure excl. changes in inventories,2012K2,1310055
- Gross domestic final expenditure excl. changes in inventories,2012K3,1187098
- Gross domestic final expenditure excl. changes in inventories,2012K4,1382631
- Gross domestic final expenditure excl. changes in inventories,2013K1,1227696
- Gross domestic final expenditure excl. changes in inventories,2013K2,1332163
- Gross domestic final expenditure excl. changes in inventories,2013K3,1221270
- Gross domestic final expenditure excl. changes in inventories,2013K4,1405325
- Gross domestic final expenditure excl. changes in inventories,2014K1,1273119
- Gross domestic final expenditure excl. changes in inventories,2014K2,1371426
- Gross domestic final expenditure excl. changes in inventories,2014K3,1249706
- Gross domestic final expenditure excl. changes in inventories,2014K4,1449051
- Gross domestic final expenditure excl. changes in inventories,2015K1,1321790
- Gross domestic final expenditure excl. changes in inventories,2015K2,1429295
- Gross domestic final expenditure excl. changes in inventories,2015K3,1297196
- Gross domestic final expenditure excl. changes in inventories,2015K4,1524211
- Gross domestic final expenditure excl. changes in inventories,2016K1,1356652
- Gross domestic final expenditure excl. changes in inventories,2016K2,1491723
- Gross domestic final expenditure excl. changes in inventories,2016K3,1342230
- Gross domestic final expenditure excl. changes in inventories,2016K4,1563415
- Gross domestic final expenditure excl. changes in inventories,2017K1,1415932
- Gross domestic final expenditure excl. changes in inventories,2017K2,1506810
- Gross domestic final expenditure excl. changes in inventories,2017K3,1376776
- Gross domestic final expenditure excl. changes in inventories,2017K4,1585126
- Gross domestic final expenditure excl. changes in inventories,2018K1,1441018
- Gross domestic final expenditure excl. changes in inventories,2018K2,1540728
- Gross domestic final expenditure excl. changes in inventories,2018K3,1383734
- Gross domestic final expenditure excl. changes in inventories,2018K4,1602435
- Gross domestic final expenditure excl. changes in inventories,2019K1,1434630
- Gross domestic final expenditure excl. changes in inventories,2019K2,1528365
- Gross domestic final expenditure excl. changes in inventories,2019K3,1392006
- Gross domestic final expenditure excl. changes in inventories,2019K4,1636943
- Gross domestic final expenditure excl. changes in inventories,2020K1,1467495
- Gross domestic final expenditure excl. changes in inventories,2020K2,1458579
- Gross domestic final expenditure excl. changes in inventories,2020K3,1383685
- Gross domestic final expenditure excl. changes in inventories,2020K4,1596456
- Gross domestic final expenditure excl. changes in inventories,2021K1,1468106
- Gross domestic final expenditure excl. changes in inventories,2021K2,1592375
- Gross domestic final expenditure excl. changes in inventories,2021K3,1463705
- Gross domestic final expenditure excl. changes in inventories,2021K4,1696269
- Gross domestic final expenditure excl. changes in inventories,2022K1,1502070
- Gross domestic final expenditure excl. changes in inventories,2022K2,1631461
- Gross domestic final expenditure excl. changes in inventories,2022K3,1485541
- Gross domestic final expenditure excl. changes in inventories,2022K4,1697035
- Gross domestic final expenditure excl. changes in inventories,2023K1,1512959
- Gross domestic final expenditure excl. changes in inventories,2023K2,1607637
- Gross domestic final expenditure excl. changes in inventories,2023K3,1466083
- Gross domestic final expenditure excl. changes in inventories,2023K4,1700355
- Gross domestic final expenditure excl. changes in inventories,2024K1,1521035
- Gross domestic final expenditure excl. changes in inventories,2024K2,1612765
- Gross domestic final expenditure excl. changes in inventories,2024K3,1483702
- Gross domestic final expenditure excl. changes in inventories,2024K4,1720354
- Gross domestic final expenditure excl. changes in inventories,2025K1,1514491
- Gross domestic final expenditure excl. changes in inventories,2025K2,1639413
- Gross domestic final expenditure excl. changes in inventories,2025K3,1511097
- Gross domestic final expenditure excl. changes in inventories,2025K4,1780370
- Gross domestic final expenditure excl. changes in inventories,2026K1,1557301
- Gross domestic final expenditure,1980K1,NA
- Gross domestic final expenditure,1980K2,NA
- Gross domestic final expenditure,1980K3,NA
- Gross domestic final expenditure,1980K4,NA
- Gross domestic final expenditure,1981K1,702280
- Gross domestic final expenditure,1981K2,731609
- Gross domestic final expenditure,1981K3,689152
- Gross domestic final expenditure,1981K4,766267
- Gross domestic final expenditure,1982K1,705271
- Gross domestic final expenditure,1982K2,735093
- Gross domestic final expenditure,1982K3,685401
- Gross domestic final expenditure,1982K4,788964
- Gross domestic final expenditure,1983K1,695515
- Gross domestic final expenditure,1983K2,717107
- Gross domestic final expenditure,1983K3,685766
- Gross domestic final expenditure,1983K4,793784
- Gross domestic final expenditure,1984K1,725281
- Gross domestic final expenditure,1984K2,755024
- Gross domestic final expenditure,1984K3,705364
- Gross domestic final expenditure,1984K4,811819
- Gross domestic final expenditure,1985K1,763749
- Gross domestic final expenditure,1985K2,792557
- Gross domestic final expenditure,1985K3,733730
- Gross domestic final expenditure,1985K4,839407
- Gross domestic final expenditure,1986K1,778057
- Gross domestic final expenditure,1986K2,816772
- Gross domestic final expenditure,1986K3,764906
- Gross domestic final expenditure,1986K4,867827
- Gross domestic final expenditure,1987K1,807784
- Gross domestic final expenditure,1987K2,847313
- Gross domestic final expenditure,1987K3,805219
- Gross domestic final expenditure,1987K4,910083
- Gross domestic final expenditure,1988K1,857042
- Gross domestic final expenditure,1988K2,872338
- Gross domestic final expenditure,1988K3,817356
- Gross domestic final expenditure,1988K4,927381
- Gross domestic final expenditure,1989K1,874534
- Gross domestic final expenditure,1989K2,912951
- Gross domestic final expenditure,1989K3,849340
- Gross domestic final expenditure,1989K4,971107
- Gross domestic final expenditure,1990K1,889491
- Gross domestic final expenditure,1990K2,921485
- Gross domestic final expenditure,1990K3,848273
- Gross domestic final expenditure,1990K4,950525
- Gross domestic final expenditure,1991K1,871472
- Gross domestic final expenditure,1991K2,884772
- Gross domestic final expenditure,1991K3,844518
- Gross domestic final expenditure,1991K4,937153
- Gross domestic final expenditure,1992K1,880910
- Gross domestic final expenditure,1992K2,884014
- Gross domestic final expenditure,1992K3,835733
- Gross domestic final expenditure,1992K4,890694
- Gross domestic final expenditure,1993K1,819073
- Gross domestic final expenditure,1993K2,839345
