type of use,quarter,"Constant prices, reference year 2025, SEK million"
-- imports of goods,2012K1,363928
-- imports of goods,2012K2,365477
-- imports of goods,2012K3,347948
-- imports of goods,2012K4,367310
-- imports of goods,2013K1,345929
-- imports of goods,2013K2,361059
-- imports of goods,2013K3,343229
-- imports of goods,2013K4,371887
-- imports of goods,2014K1,361365
-- imports of goods,2014K2,379620
-- imports of goods,2014K3,363543
-- imports of goods,2014K4,392119
-- imports of goods,2015K1,379181
-- imports of goods,2015K2,385041
-- imports of goods,2015K3,386017
-- imports of goods,2015K4,423393
-- imports of goods,2016K1,403811
-- imports of goods,2016K2,421955
-- imports of goods,2016K3,400398
-- imports of goods,2016K4,440953
-- imports of goods,2017K1,421404
-- imports of goods,2017K2,431847
-- imports of goods,2017K3,418211
-- imports of goods,2017K4,467469
-- imports of goods,2018K1,450174
-- imports of goods,2018K2,469168
-- imports of goods,2018K3,425238
-- imports of goods,2018K4,485323
-- imports of goods,2019K1,455909
-- imports of goods,2019K2,458953
-- imports of goods,2019K3,439273
-- imports of goods,2019K4,468831
-- imports of goods,2020K1,442519
-- imports of goods,2020K2,402119
-- imports of goods,2020K3,425609
-- imports of goods,2020K4,478165
-- imports of goods,2021K1,478454
-- imports of goods,2021K2,487886
-- imports of goods,2021K3,464157
-- imports of goods,2021K4,523990
-- imports of goods,2022K1,498258
-- imports of goods,2022K2,508052
-- imports of goods,2022K3,483186
-- imports of goods,2022K4,523105
-- imports of goods,2023K1,489888
-- imports of goods,2023K2,498192
-- imports of goods,2023K3,459161
-- imports of goods,2023K4,500326
-- imports of goods,2024K1,474306
-- imports of goods,2024K2,486067
-- imports of goods,2024K3,463288
-- imports of goods,2024K4,502257
-- imports of goods,2025K1,486855
-- imports of goods,2025K2,501643
-- imports of goods,2025K3,476525
-- imports of goods,2025K4,513986
-- imports of goods,2026K1,507977
-- imports of services,1980K1,NA
-- imports of services,1980K2,NA
-- imports of services,1980K3,NA
-- imports of services,1980K4,NA
-- imports of services,1981K1,40481
-- imports of services,1981K2,46348
-- imports of services,1981K3,50058
-- imports of services,1981K4,39775
-- imports of services,1982K1,41633
-- imports of services,1982K2,48138
-- imports of services,1982K3,52162
-- imports of services,1982K4,41061
-- imports of services,1983K1,39962
-- imports of services,1983K2,47047
-- imports of services,1983K3,48644
-- imports of services,1983K4,44233
-- imports of services,1984K1,40234
-- imports of services,1984K2,46803
-- imports of services,1984K3,54065
-- imports of services,1984K4,49205
-- imports of services,1985K1,44482
-- imports of services,1985K2,49977
-- imports of services,1985K3,55488
-- imports of services,1985K4,50888
-- imports of services,1986K1,42640
-- imports of services,1986K2,54128
-- imports of services,1986K3,55293
-- imports of services,1986K4,51285
-- imports of services,1987K1,43071
-- imports of services,1987K2,53456
-- imports of services,1987K3,63193
-- imports of services,1987K4,59646
-- imports of services,1988K1,51017
-- imports of services,1988K2,58761
-- imports of services,1988K3,65157
-- imports of services,1988K4,59010
-- imports of services,1989K1,57267
-- imports of services,1989K2,64820
-- imports of services,1989K3,70557
-- imports of services,1989K4,66143
-- imports of services,1990K1,60865
-- imports of services,1990K2,69448
-- imports of services,1990K3,74196
-- imports of services,1990K4,69476
-- imports of services,1991K1,56170
-- imports of services,1991K2,61979
-- imports of services,1991K3,74389
-- imports of services,1991K4,68254
-- imports of services,1992K1,64152
-- imports of services,1992K2,67902
-- imports of services,1992K3,82199
-- imports of services,1992K4,68074
-- imports of services,1993K1,55591
-- imports of services,1993K2,56057
-- imports of services,1993K3,63303
-- imports of services,1993K4,63412
-- imports of services,1994K1,60260
-- imports of services,1994K2,63439
-- imports of services,1994K3,68567
-- imports of services,1994K4,65427
-- imports of services,1995K1,64042
-- imports of services,1995K2,65939
-- imports of services,1995K3,70914
-- imports of services,1995K4,67382
-- imports of services,1996K1,67290
-- imports of services,1996K2,68685
-- imports of services,1996K3,74385
-- imports of services,1996K4,73974
-- imports of services,1997K1,73781
-- imports of services,1997K2,81081
-- imports of services,1997K3,88294
-- imports of services,1997K4,86490
-- imports of services,1998K1,87671
-- imports of services,1998K2,91664
-- imports of services,1998K3,94507
-- imports of services,1998K4,97266
-- imports of services,1999K1,95897
-- imports of services,1999K2,98898
-- imports of services,1999K3,103836
-- imports of services,1999K4,104347
-- imports of services,2000K1,106837
-- imports of services,2000K2,109725
-- imports of services,2000K3,113725
-- imports of services,2000K4,116489
-- imports of services,2001K1,118188
-- imports of services,2001K2,117400
-- imports of services,2001K3,116563
-- imports of services,2001K4,119178
-- imports of services,2002K1,114413
-- imports of services,2002K2,115178
-- imports of services,2002K3,111510
-- imports of services,2002K4,114848
-- imports of services,2003K1,109014
-- imports of services,2003K2,109804
-- imports of services,2003K3,112319
-- imports of services,2003K4,118672
-- imports of services,2004K1,107004
-- imports of services,2004K2,117965
-- imports of services,2004K3,113381
-- imports of services,2004K4,129222
-- imports of services,2005K1,110898
-- imports of services,2005K2,119601
-- imports of services,2005K3,125562
-- imports of services,2005K4,138591
-- imports of services,2006K1,124581
-- imports of services,2006K2,130009
-- imports of services,2006K3,130149
-- imports of services,2006K4,141228
-- imports of services,2007K1,125423
-- imports of services,2007K2,136005
-- imports of services,2007K3,139351
-- imports of services,2007K4,154700
-- imports of services,2008K1,140351
-- imports of services,2008K2,142242
-- imports of services,2008K3,146308
-- imports of services,2008K4,157943
-- imports of services,2009K1,135851
-- imports of services,2009K2,135984
-- imports of services,2009K3,135795
-- imports of services,2009K4,139016
-- imports of services,2010K1,127455
-- imports of services,2010K2,129307
-- imports of services,2010K3,138860
-- imports of services,2010K4,145347
-- imports of services,2011K1,133426
-- imports of services,2011K2,133685
-- imports of services,2011K3,141872
-- imports of services,2011K4,149346
-- imports of services,2012K1,142782
-- imports of services,2012K2,144804
-- imports of services,2012K3,144406
-- imports of services,2012K4,151073
-- imports of services,2013K1,144805
-- imports of services,2013K2,157199
-- imports of services,2013K3,158006
-- imports of services,2013K4,165875
-- imports of services,2014K1,155868
-- imports of services,2014K2,163679
